,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,309075.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,309971.0,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,3,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,311120.0,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,312164.0,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,312797.0,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,3,7,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,313750.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,3,2,4,7,7,7,7,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,314843.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,6,6,9,9,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
7,325924.0,8,15,15,15,15,16,17,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,17,17,17,16,15,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
8,316435.0,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,12,12,12,12,12,12,12,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
9,317354.0,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,12,12,12,11,11,11,11,11,11,11,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
10,318122.0,11,10,10,10,10,10,10,10,10,10,10,10,10,11,14,14,14,14,14,14,13,14,14,14,14,14,14,14,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,0
11,319210.0,12,11,11,11,11,11,11,11,11,11,14,17,16,15,15,15,15,15,15,15,14,13,13,13,13,13,13,11,10,10,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,0
12,320605.0,13,12,12,12,12,12,12,13,14,15,15,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
13,328333.0,14,17,17,17,17,18,18,17,17,17,17,15,14,14,13,13,12,11,11,11,10,10,10,10,10,10,10,8,14,18,16,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,0
14,323608.0,15,13,13,13,13,13,13,12,12,12,11,11,11,10,10,10,9,8,8,9,15,15,15,15,15,15,15,15,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,0
15,324721.0,16,14,14,14,14,14,14,14,15,14,13,13,15,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,17,18,18,18,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
16,327332.0,17,16,16,16,16,15,15,16,16,16,16,14,13,13,12,12,11,10,10,10,9,8,8,9,9,9,9,12,15,14,14,14,14,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
17,328709.0,18,18,18,18,18,17,16,15,13,13,12,12,12,12,11,11,10,9,9,8,8,7,6,6,6,6,7,13,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
18,329635.0,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
