,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,233261.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,234061.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,234631.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,6,6,6,5,5,5,5,5,4,4,4,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
3,235002.0,4,4,4,4,4,4,4,4,4,4,4,4,10,7,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,7,5,5,5,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,7,6,6,6,6,6,5,5,5,5,5,5
4,235376.0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,9,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,6,5,4,4,4,6,6,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7
5,235800.0,6,6,6,6,6,6,6,6,6,6,6,6,5,14,10,10,9,8,8,7,7,7,7,7,7,7,6,6,6,6,8,9,8,8,8,7,7,7,7,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8
6,236210.0,7,7,8,8,8,8,8,8,16,20,20,20,20,19,17,17,16,17,16,15,16,17,17,16,16,16,16,16,16,15,15,15,17,17,17,16,16,15,15,15,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,236581.0,8,8,7,7,7,7,7,7,7,7,7,7,6,9,16,16,15,14,13,13,12,11,11,12,12,12,12,12,11,11,11,11,11,12,14,14,14,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,10,10,10,10,10,10,10,10,10,0
8,237296.0,9,9,9,9,9,9,9,9,8,8,9,9,8,6,6,6,6,6,6,8,14,13,12,11,10,9,9,9,9,9,9,8,9,9,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,11,11,11,11,11,11,11,0
9,237798.0,10,10,10,10,11,11,13,13,12,12,12,12,9,8,7,9,17,16,15,14,13,14,14,13,13,13,13,13,12,12,13,13,14,14,13,13,13,12,11,11,11,12,12,12,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
