,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,44,1,hamilton,1,3,1,Finished,85489,167976,250008,331906,414116,496071,577918,660089,742073.0,824118.0,905793.0,987485.0,1069346.0,1152167.0,1234166.0,1321555.0,1426865.0,1508992.0,1591315.0,1674005.0,1756851.0,1839479.0,1922138.0,2005232.0,2088150.0,2170731.0,2253799.0,2336679.0,2419767.0,2502649.0,2586046.0,2669570.0,2752778.0,2836482.0,2919880.0,3003381.0,3086781.0,3175693.0,3280756.0,3363336.0,3446069.0,3528986.0,3611744.0,3694795.0,3777714.0,3860657.0,3943562.0,4026589.0,4109941.0,4192439.0,4275618.0,4359307.0,4442458.0,4525895.0,4609064.0,4692691.0,4775825.0,4858915.0,4942447.0
5,44,8,raikkonen,6,1,1,Finished,86198,168659,250847,332940,414970,497048,579036,660881,743137.0,825117.0,906805.0,988316.0,1069806.0,1152504.0,1234726.0,1316331.0,1396969.0,1483131.0,1589194.0,1671483.0,1754222.0,1836668.0,1919126.0,2001584.0,2083905.0,2166017.0,2248349.0,2330537.0,2413330.0,2495440.0,2578262.0,2660838.0,2742496.0,2824182.0,2906067.0,2987551.0,3068979.0,3150519.0,3232190.0,3313477.0,3394500.0,3475498.0,3562026.0,3664489.0,3745975.0,3828302.0,3909838.0,3991682.0,4073967.0,4156439.0,4238506.0,4321331.0,4403750.0,4486414.0,4568978.0,4651708.0,4734339.0,4817490.0,4903074.0
3,44,4,alonso,1,2,1,Finished,87029,169827,252229,334331,416550,498717,580710,662656,744741.0,826700.0,908573.0,990326.0,1072171.0,1154268.0,1236135.0,1317904.0,1399492.0,1480951.0,1562410.0,1649712.0,1751760.0,1833417.0,1915221.0,1997292.0,2079460.0,2161653.0,2243889.0,2326237.0,2408672.0,2491001.0,2574499.0,2656144.0,2737871.0,2819528.0,2900645.0,2982028.0,3068681.0,3174188.0,3257163.0,3339454.0,3421420.0,3503413.0,3585538.0,3667749.0,3750136.0,3832708.0,3915189.0,3997670.0,4080324.0,4162929.0,4245678.0,4328869.0,4411493.0,4493991.0,4576301.0,4658367.0,4741030.0,4823328.0,4905533.0
6,44,9,kubica,2,4,1,Finished,88421,171409,254075,336685,419522,501958,584390,666911,749602.0,832043.0,914367.0,996698.0,1078861.0,1160966.0,1243279.0,1331427.0,1437175.0,1520554.0,1603808.0,1687047.0,1770214.0,1853309.0,1936434.0,2019714.0,2103025.0,2186180.0,2269337.0,2352660.0,2435870.0,2519507.0,2603583.0,2687303.0,2770433.0,2853472.0,2936308.0,3019196.0,3102436.0,3185290.0,3268301.0,3356851.0,3461283.0,3544009.0,3627261.0,3710285.0,3793560.0,3877045.0,3960024.0,4043414.0,4127195.0,4210133.0,4293336.0,4376991.0,4460168.0,4543149.0,4625857.0,4708518.0,4791078.0,4873590.0,4956393.0
4,44,5,kovalainen,4,7,11,+1 Lap,89762,173274,255901,338604,421397,504056,586941,669808,752531.0,835334.0,917886.0,1002391.0,1085027.0,1167657.0,1255863.0,1364914.0,1448161.0,1531340.0,1614758.0,1698584.0,1782668.0,1866789.0,1950583.0,2034606.0,2118543.0,2202527.0,2286019.0,2369195.0,2452684.0,2536047.0,2619517.0,2703118.0,2786185.0,2869194.0,2952542.0,3035603.0,3124336.0,3232593.0,3316597.0,3399759.0,3482834.0,3566908.0,3650413.0,3733709.0,3816783.0,3900062.0,3983187.0,4066444.0,4149862.0,4233324.0,4317125.0,4401203.0,4485192.0,4571268.0,4654954.0,4738790.0,4823753.0,4907621.0,
15,44,21,fisichella,4,8,11,+1 Lap,90690,174387,257468,340280,423357,506149,588798,671493,754017.0,836459.0,919087.0,1001485.0,1083621.0,1166037.0,1248377.0,1336105.0,1442967.0,1526486.0,1609731.0,1693674.0,1777248.0,1860450.0,1943709.0,2027457.0,2110633.0,2194053.0,2277480.0,2360907.0,2444177.0,2527378.0,2610984.0,2694464.0,2777690.0,2861458.0,2951645.0,3058928.0,3143178.0,3227467.0,3311972.0,3397584.0,3481865.0,3567808.0,3652193.0,3736283.0,3820324.0,3904110.0,3988176.0,4071991.0,4157078.0,4241567.0,4325354.0,4409272.0,4493057.0,4578283.0,4662214.0,4745953.0,4829344.0,4912361.0,
1,44,2,heidfeld,2,6,1,Finished,91345,175665,258914,341928,424981,508041,590772,674082,757075.0,840050.0,922733.0,1005384.0,1087847.0,1170255.0,1252738.0,1335041.0,1417032.0,1499368.0,1586423.0,1692495.0,1775621.0,1858755.0,1942116.0,2025507.0,2108618.0,2191999.0,2275342.0,2358790.0,2441902.0,2525191.0,2608542.0,2691922.0,2775394.0,2859527.0,2942317.0,3025212.0,3108135.0,3191003.0,3273849.0,3356284.0,3438396.0,3526112.0,3631283.0,3714203.0,3797754.0,3881531.0,3964729.0,4047744.0,4130941.0,4213789.0,4297062.0,4379896.0,4463062.0,4546201.0,4629187.0,4711916.0,4794495.0,4876902.0,4959410.0
17,44,23,ralf_schumacher,7,20,36,Wheel,92399,176724,260035,343293,426367,509228,592489,675803,759055.0,841963.0,924807.0,1007317.0,1090087.0,1172815.0,1255505.0,1343720.0,1451498.0,1535925.0,1619984.0,1703828.0,1787782.0,1896839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,44,17,webber,9,22,9,Hydraulics,93188,177869,262121,345998,430028,513795,597706,729402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,44,15,trulli,7,17,31,Retired,93942,178876,262986,347093,431260,514996,599007,683342,767073.0,851068.0,936277.0,1020454.0,1104413.0,1188557.0,1272329.0,1356249.0,1439957.0,1529810.0,1637417.0,1722030.0,1806798.0,1891806.0,1976858.0,2062018.0,2147083.0,2232207.0,2317587.0,2402804.0,2488910.0,2575622.0,2662542.0,2750863.0,2843917.0,2954380.0,3040275.0,3126010.0,3211617.0,3296949.0,3382053.0,3467341.0,3552515.0,3637713.0,3730549.0,,,,,,,,,,,,,,,,
