,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,214625.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,215585.0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,217342.0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,218528.0,4,4,4,4,4,4,4,4,4,4,4,4,6,7,5,4,4,4,4,4,5,5,5,5,5,6,8,8,8,8,8,7,6,6,6,6,6,6,6,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10
4,219347.0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,220277.0,6,6,6,6,6,6,6,6,6,6,6,6,5,5,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,221775.0,7,7,7,7,7,7,7,7,7,7,7,7,8,12,10,9,9,9,7,7,7,7,7,7,7,7,6,6,6,6,6,6,10,10,9,9,9,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,222340.0,8,8,8,8,8,8,8,8,8,8,8,8,9,13,11,10,10,10,9,8,8,8,8,8,8,8,7,7,7,7,7,10,9,9,8,8,8,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,222782.0,9,9,9,9,9,9,9,9,9,9,9,9,7,6,4,5,6,7,13,14,14,13,13,13,13,13,13,12,12,12,12,12,11,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11
9,224142.0,10,10,10,10,10,10,10,10,10,10,10,10,13,14,12,11,11,11,10,11,10,10,10,10,11,11,11,11,11,11,11,11,12,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13
10,224827.0,11,11,11,11,11,11,11,11,11,11,11,11,10,8,8,13,13,13,12,12,12,11,12,12,12,12,12,14,15,15,14,14,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12
11,225578.0,12,12,12,12,12,12,12,12,13,14,14,14,12,11,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
12,226179.0,13,13,13,13,13,13,15,15,15,15,15,15,14,9,9,8,8,8,8,9,11,15,15,15,15,15,15,15,14,14,15,15,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
13,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,226924.0,15,14,14,14,14,14,13,13,12,12,12,12,15,15,14,14,14,14,14,13,13,12,11,11,10,10,10,10,10,10,10,9,8,7,7,7,7,9,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8
15,229639.0,16,16,16,16,16,16,16,16,16,16,16,16,18,20,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,17,17,17,0
16,231031.0,17,17,17,17,17,17,17,17,17,17,17,17,16,16,19,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,16,16,16,0
17,227947.0,18,15,15,15,15,15,14,14,14,13,13,13,11,10,13,12,12,12,11,10,9,9,9,9,9,9,9,9,9,9,9,8,7,8,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,9,9,9,9
18,232078.0,19,18,18,18,18,18,18,18,18,18,18,18,17,17,20,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
19,233737.0,20,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0
20,234360.0,21,20,19,19,19,19,19,19,19,19,19,19,19,19,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,235165.0,22,21,21,21,20,20,20,20,20,20,20,20,20,18,16,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
22,289532.0,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
