,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,224023.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,225745.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,11,10,12,13,14,14,14,14,14,14,13,13,12,12,12,11,11,10,10,10,11,11,11,11,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,6,6,6,5,5
2,226556.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,227352.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,3,3,2,2,1,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
4,228021.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,229382.0,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,13,14,14,15,16,16,16,16,16,16,16,16,16,15,15,15,13,12,11,11,11,12,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,0
6,230596.0,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,13,13,12,12,12,12,12,12,12,11,11,10,10,9,7,8,7,7,7,9,9,8,7,7,7,7,7,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
7,231802.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,12,10,9,9,9,9,9,9,9,7,7,7,7,6,8,8,6,7,6,6,6,6,6,6,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,5,5,5,0,0,0,0,0
8,232572.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,17,16,17,17,17,17,17,17,17,17,17,17,16,17,16,15,15,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,233286.0,10,10,10,10,10,10,10,10,10,10,15,14,14,14,14,14,14,13,13,11,9,8,8,8,7,7,7,8,10,10,10,10,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,233830.0,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,7,6,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11,234743.0,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,8,7,6,6,6,6,6,6,6,8,8,8,8,7,6,6,8,6,5,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,235405.0,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,9,8,7,7,7,8,8,8,7,6,6,6,6,5,5,5,5,5,3,3,3,3,3,3,3,2,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,236096.0,14,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,17,16,15,13,13,13,13,13,13,14,14,13,13,14,12,13,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,237185.0,15,15,15,15,15,15,16,16,16,16,14,15,15,15,15,15,15,15,16,17,16,18,18,18,18,18,18,18,18,18,18,18,17,16,17,16,16,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,238359.0,16,16,16,16,16,16,15,15,15,15,13,13,13,13,13,13,13,14,14,16,15,15,14,14,15,15,15,15,15,15,15,15,14,14,13,14,14,13,12,12,10,10,10,10,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,0
16,239360.0,17,17,17,17,17,17,17,17,18,18,16,16,16,16,16,16,16,16,15,14,12,11,10,10,10,10,10,10,9,9,9,9,8,7,7,10,10,9,9,9,7,7,7,6,6,6,6,6,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
17,240237.0,18,18,18,18,18,18,19,19,19,19,17,17,17,17,17,17,17,17,17,15,13,12,11,11,11,11,11,11,11,11,12,12,11,11,11,9,9,8,8,8,8,8,9,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,6,6
18,241433.0,19,19,19,19,19,19,18,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
