,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,854.0,20.0,vettel,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,854.0,18.0,button,2.0,1.0,Finished,2597.0,3561.0,4405.0,5554.0,7074.0,8263.0,9124.0,9910.0,10927.0,11690.0,12213.0,11984.0,11574.0,10774.0,10377.0,11462.0,11894.0,12692.0,13255.0,13467.0,14417.0,14853.0,16210.0,17223.0,18539.0,20410.0,20604.0,18321.0,18430.0,22710.0,5870.0,4877.0,4089.0,8973.0,10052.0,11933.0,11844.0,11956.0,12504.0,12581.0,13055.0,13101.0,13004.0,13424.0,13787.0,13504.0,13901.0,22594.0,33855.0,9582.0,12335.0,12701.0,11753.0,9693.0,8617.0,7919.0,6508.0,3737.0,5690.0,6519.0,1737.0
2,854.0,4.0,alonso,4.0,1.0,Finished,3511.0,4111.0,5094.0,6759.0,8474.0,9708.0,11199.0,13423.0,16625.0,30767.0,53592.0,53211.0,51132.0,41294.0,20748.0,22238.0,24141.0,28236.0,29533.0,30281.0,32612.0,34357.0,35537.0,37524.0,46269.0,66791.0,65889.0,63417.0,69435.0,70257.0,19317.0,7193.0,6859.0,14453.0,17442.0,19574.0,20843.0,21859.0,23157.0,23577.0,24958.0,25814.0,26919.0,28351.0,29295.0,30417.0,31808.0,34719.0,35710.0,35246.0,38527.0,40408.0,42861.0,45903.0,47672.0,50269.0,51821.0,50788.0,53802.0,58385.0,55449.0
3,854.0,17.0,webber,3.0,1.0,Finished,4943.0,5890.0,6317.0,7705.0,9483.0,10689.0,12464.0,14522.0,17207.0,21115.0,24285.0,34114.0,54622.0,45608.0,26581.0,27429.0,28025.0,30005.0,32742.0,32402.0,33620.0,35005.0,36252.0,38243.0,39823.0,40136.0,40499.0,38939.0,49792.0,71804.0,21510.0,8307.0,7312.0,13890.0,15880.0,17208.0,16734.0,16188.0,16399.0,16356.0,16544.0,16434.0,16439.0,17415.0,17357.0,17266.0,25290.0,47847.0,38148.0,14295.0,20126.0,22776.0,23773.0,23347.0,24569.0,26398.0,28689.0,28074.0,29518.0,32481.0,29279.0
4,854.0,13.0,massa,9.0,11.0,+1 Lap,5621.0,6701.0,7613.0,9072.0,10414.0,12021.0,13489.0,15972.0,18950.0,23528.0,34370.0,87967.0,111054.0,100120.0,78941.0,82266.0,82811.0,83407.0,85183.0,86785.0,90688.0,93603.0,97089.0,108910.0,131381.0,130089.0,130081.0,128880.0,154470.0,157553.0,101894.0,55509.0,14123.0,23073.0,29481.0,34802.0,38479.0,41827.0,45971.0,49398.0,60713.0,85363.0,87203.0,89184.0,91434.0,91820.0,92456.0,93678.0,85372.0,64611.0,69562.0,73366.0,79082.0,87092.0,94270.0,99059.0,101784.0,102915.0,109960.0,119484.0,
5,854.0,3.0,rosberg,7.0,11.0,+1 Lap,6624.0,8452.0,9699.0,12825.0,16679.0,18921.0,21225.0,24271.0,34909.0,56865.0,58306.0,59323.0,59859.0,50272.0,29869.0,32229.0,34329.0,37113.0,40180.0,42884.0,46470.0,56571.0,77095.0,78643.0,79775.0,81015.0,82842.0,85129.0,106027.0,125890.0,72630.0,25067.0,10499.0,18004.0,26076.0,30973.0,33572.0,36839.0,40543.0,43540.0,47012.0,49743.0,52624.0,55850.0,59397.0,62757.0,65460.0,69191.0,62914.0,43777.0,51142.0,58427.0,64602.0,70676.0,78400.0,85905.0,93221.0,99339.0,108454.0,118721.0,
6,854.0,30.0,michael_schumacher,23.0,3.0,Accident,7367.0,9589.0,11402.0,14829.0,18399.0,20858.0,23350.0,26192.0,30240.0,42366.0,66247.0,66728.0,69494.0,61983.0,41189.0,42438.0,43495.0,44769.0,46291.0,47590.0,50221.0,52439.0,55962.0,67787.0,87784.0,87038.0,87436.0,86049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,854.0,1.0,hamilton,5.0,1.0,Finished,7931.0,9919.0,11917.0,13098.0,14535.0,15508.0,16258.0,17499.0,19742.0,23986.0,34950.0,58375.0,66278.0,80372.0,70125.0,87844.0,88646.0,88955.0,89524.0,90698.0,93261.0,94518.0,97513.0,99977.0,101585.0,101487.0,102380.0,100939.0,125046.0,143450.0,92588.0,46929.0,13249.0,18706.0,26876.0,32098.0,34054.0,35290.0,37010.0,36726.0,37190.0,37228.0,38261.0,39780.0,41388.0,42621.0,44787.0,57980.0,69671.0,47776.0,51345.0,53455.0,55280.0,55598.0,58583.0,61584.0,62805.0,63143.0,66983.0,70177.0,67766.0
8,854.0,16.0,sutil,8.0,11.0,+1 Lap,9245.0,11713.0,13872.0,16885.0,20348.0,22984.0,25347.0,28290.0,31397.0,35854.0,45396.0,69721.0,70294.0,64402.0,44647.0,47962.0,50484.0,53493.0,56034.0,58374.0,61507.0,64616.0,68271.0,71725.0,74879.0,79154.0,82171.0,83497.0,104137.0,126275.0,73122.0,26092.0,11239.0,18414.0,26515.0,31818.0,36921.0,40328.0,44069.0,47462.0,51067.0,54025.0,57223.0,60806.0,63610.0,66282.0,69353.0,72950.0,66591.0,46914.0,54330.0,59810.0,65734.0,71793.0,79251.0,86989.0,93977.0,100022.0,109130.0,119103.0,
9,854.0,814.0,resta,6.0,1.0,Finished,10726.0,13868.0,17008.0,20178.0,23717.0,26160.0,28587.0,31132.0,33568.0,36636.0,39244.0,40193.0,40650.0,33014.0,15196.0,19203.0,23023.0,27710.0,39775.0,63989.0,66383.0,68531.0,70500.0,73557.0,75896.0,77968.0,79432.0,79070.0,98224.0,117857.0,70458.0,23056.0,10145.0,17558.0,25270.0,30044.0,32333.0,34951.0,39317.0,42054.0,45055.0,48006.0,51083.0,54050.0,56601.0,59159.0,61933.0,65441.0,59261.0,39738.0,46543.0,51282.0,57505.0,62659.0,68718.0,75600.0,82525.0,87920.0,96623.0,105508.0,111067.0
