,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,117,23,ralf_schumacher,3,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,117,31,montoya,3,2,1,Finished,1215,1924,2753,3300,3569,3568,3589,3617,3733,3657,3892,4329,4716,4499,4542,4830,5626,24402,6423,6751,7912,7519.0,7488.0,8417.0,8683.0,8235.0,8054.0,8235.0,8251.0,8158.0,7896.0,7806.0,6554.0,7509.0,23750.0,6031.0,6300.0,6066.0,6034.0,3894.0,4002.0,5441.0,4403.0,4262.0,3576.0,2557.0,2755.0,2614.0,2566.0,2575.0,18625.0,1225.0,1972.0,3522.0,3934.0,4977.0,5710.0,6614.0,8018.0,9211.0,10249.0,11247.0,12282.0,13766.0,14413.0,14246.0,13912.0,13257.0,12785.0,13813.0
2,117,8,raikkonen,1,4,1,Finished,2271,3371,4267,5008,5437,5819,5828,6069,6834,6934,7382,8111,8552,8502,8930,10962,27473,26241,9211,10430,10985,12080.0,12594.0,13337.0,15198.0,15436.0,16398.0,16671.0,16788.0,16877.0,18402.0,35649.0,35601.0,36766.0,36692.0,21590.0,23179.0,24376.0,24658.0,23069.0,22778.0,22973.0,22643.0,23381.0,23255.0,23096.0,24997.0,45194.0,47076.0,47292.0,46835.0,30986.0,33726.0,34778.0,35553.0,36788.0,37453.0,37736.0,37829.0,38254.0,37908.0,37589.0,37801.0,37000.0,36471.0,34520.0,37397.0,38037.0,38052.0,38047.0
3,117,30,michael_schumacher,6,3,1,Finished,3007,4099,5097,5584,6181,6907,7131,7541,8327,8924,9976,11030,11826,12691,13923,14915,16484,32953,15617,16546,16773,17022.0,19010.0,19790.0,20507.0,21225.0,22096.0,23426.0,24443.0,24656.0,25170.0,25159.0,24861.0,25735.0,27102.0,28726.0,29645.0,29694.0,29216.0,28086.0,27490.0,27657.0,27163.0,27637.0,28570.0,28522.0,29587.0,30685.0,31035.0,29950.0,28451.0,11981.0,30887.0,31198.0,30447.0,29837.0,29133.0,28807.0,28096.0,27872.0,27391.0,27087.0,27180.0,26607.0,26140.0,23988.0,22698.0,21663.0,20168.0,19568.0
4,117,14,coulthard,1,5,1,Finished,3666,5152,6161,6638,7247,7713,7972,8405,9256,9761,10883,11927,12865,13543,15367,32128,31304,29382,12216,13364,13989,14825.0,15469.0,16231.0,17262.0,17444.0,18021.0,18495.0,18622.0,18891.0,19220.0,20135.0,36662.0,37563.0,37556.0,22202.0,24118.0,25297.0,26654.0,25265.0,24880.0,24877.0,24637.0,24843.0,24851.0,24329.0,25494.0,27059.0,58015.0,56884.0,55903.0,39654.0,40697.0,41295.0,41334.0,42330.0,42565.0,42844.0,42696.0,42960.0,43079.0,42831.0,42281.0,41607.0,41508.0,40491.0,39821.0,40189.0,40221.0,40289.0
5,117,15,trulli,4,17,5,Engine,4498,6055,7030,7821,8134,8530,8745,9186,10179,10588,11437,12681,13601,14399,15435,16954,34812,34318,18151,19999,20821,21461.0,22149.0,23803.0,24725.0,24952.0,25663.0,26729.0,27292.0,28520.0,29449.0,29472.0,28947.0,30847.0,48168.0,33298.0,35784.0,37234.0,37796.0,36942.0,38193.0,40607.0,50708.0,65799.0,88574.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,117,4,alonso,4,18,5,Engine,4876,6514,7534,8364,9343,9580,9818,10690,11428,11905,12469,13656,14944,15980,16686,17619,18451,36455,20409,22836,23819,24709.0,25374.0,26610.0,29043.0,29682.0,30414.0,31861.0,33010.0,33943.0,34582.0,34794.0,35000.0,36009.0,36041.0,21544.0,41376.0,42183.0,42690.0,41261.0,41445.0,42192.0,42583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,117,22,barrichello,6,7,11,+1 Lap,5715,19537,20850,22402,23708,25588,26853,28425,29888,30620,31925,34052,36191,38204,40328,42259,44049,44110,28698,31222,53359,55067.0,55983.0,57660.0,59128.0,60654.0,62349.0,63999.0,65917.0,67718.0,69270.0,70924.0,71577.0,73874.0,75380.0,60558.0,63570.0,65367.0,66649.0,65667.0,66207.0,66894.0,66678.0,68399.0,69441.0,88489.0,89026.0,89869.0,91090.0,90821.0,90316.0,74069.0,75472.0,76594.0,76393.0,78459.0,79724.0,79959.0,79813.0,79946.0,80188.0,80164.0,80132.0,79538.0,80396.0,79483.0,79522.0,79639.0,79404.0,
8,117,17,webber,19,6,1,Finished,6159,7903,9248,10551,11646,12458,12865,13352,14619,15009,15838,16807,17667,18550,19627,23265,44753,44700,29417,31602,32324,32779.0,33207.0,33891.0,35646.0,36333.0,38373.0,39906.0,40818.0,41511.0,43022.0,60877.0,60932.0,63565.0,63734.0,48131.0,49685.0,50434.0,50454.0,48934.0,49022.0,49697.0,49955.0,51515.0,51543.0,50908.0,51409.0,53459.0,75118.0,75083.0,74644.0,58078.0,59337.0,60174.0,60573.0,61113.0,62491.0,63637.0,64337.0,65322.0,65512.0,65389.0,65626.0,65460.0,65851.0,65217.0,65194.0,65359.0,65130.0,66380.0
9,117,42,pizzonia,19,10,11,+1 Lap,6557,8921,10716,12047,13462,14536,15689,16742,17640,18671,20075,21410,22740,24368,46201,47862,49724,49855,34171,36803,38338,39722.0,40836.0,42219.0,43957.0,45135.0,46389.0,47688.0,48924.0,51648.0,76329.0,79094.0,80496.0,83203.0,84588.0,70024.0,73254.0,75909.0,79581.0,81779.0,84137.0,86256.0,88625.0,110080.0,111268.0,112280.0,114583.0,116923.0,118987.0,119763.0,120402.0,105248.0,108848.0,111938.0,113261.0,116123.0,117655.0,118764.0,119311.0,121422.0,122290.0,122736.0,123182.0,123228.0,123857.0,123041.0,122630.0,122410.0,122649.0,
