,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,17,1,hamilton,1,19,23,Brakes,109107,212895,315610,417746,519366,620643,721848,823181,924113,1024882,1126733,1228080,1329228,1430199,1530798,1631165,1733432,1861326,1964319.0,2072330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17,20,vettel,9,1,1,Finished,109556,213780,316591,419050,520684,622244,723351,824565,925625,1026615,1127654,1228984,1330063,1431285,1532060,1632590,1733330,1833658,1936024.0,2064111.0,2166106.0,2268345.0,2370124.0,2471567.0,2572918.0,2674210.0,2775801.0,2877178.0,2978492.0,3080117.0,3181184.0,3282256.0,3383452.0,3485661.0,3587091.0,3688038.0,3788954.0,3889622.0,3990264.0,4091101.0,4192690.0,4295806.0,4423327.0,4525937.0,4627956.0,4729356.0,4831248.0,4932821.0,5034463.0,5135902.0,5237344.0,5338748.0,5439342.0,5539621.0,5643414.0
10,17,17,webber,9,2,1,Finished,110358,215055,318510,421236,523467,625079,726104,827256,928139,1029021,1130329,1231399,1332211,1432782,1533598,1634311,1735617,1838553,1967486.0,2070027.0,2172184.0,2275190.0,2377275.0,2479088.0,2580588.0,2683202.0,2784870.0,2886271.0,2987699.0,3089371.0,3190591.0,3292104.0,3393570.0,3494966.0,3596315.0,3697694.0,3799432.0,3901070.0,4002846.0,4107445.0,4235105.0,4337621.0,4440415.0,4542735.0,4644613.0,4746399.0,4847944.0,4949555.0,5051115.0,5152138.0,5253506.0,5354631.0,5455761.0,5557758.0,5661271.0
11,17,18,button,23,3,1,Finished,111274,215976,319607,422274,525270,627492,729162,830454,931501,1032529,1133609,1234686,1335687,1436560,1537219,1637972,1740398,1872256,1975485.0,2078594.0,2181638.0,2284298.0,2386587.0,2488914.0,2591115.0,2693324.0,2795255.0,2897206.0,2998982.0,3100649.0,3202452.0,3304040.0,3405625.0,3507077.0,3608564.0,3710190.0,3811569.0,3912978.0,4014172.0,4115482.0,4216742.0,4319783.0,4446170.0,4547609.0,4648781.0,4750012.0,4851036.0,4951829.0,5052471.0,5153304.0,5254237.0,5355518.0,5456486.0,5558374.0,5661881.0
14,17,22,barrichello,23,4,1,Finished,113005,218617,322198,424511,527084,629433,731135,832464,933410,1034791,1136090,1237152,1338276,1439066,1539732,1642541,1772451,1875325,1977600.0,2080245.0,2182648.0,2285475.0,2387975.0,2490367.0,2592617.0,2694769.0,2796565.0,2898458.0,3000237.0,3102373.0,3204003.0,3306476.0,3408561.0,3510466.0,3612072.0,3713433.0,3814642.0,3917182.0,4018312.0,4119277.0,4221959.0,4349117.0,4451428.0,4553159.0,4654316.0,4755423.0,4856664.0,4959149.0,5060435.0,5161967.0,5263168.0,5364306.0,5465186.0,5565635.0,5666149.0
7,17,9,kubica,2,10,1,Finished,113496,219208,323106,425924,528289,630432,732255,833980,935451,1036810,1137976,1239191,1340291,1441532,1542807,1646198,1776410,1879656,1985711.0,2089704.0,2193099.0,2296402.0,2399326.0,2501921.0,2604411.0,2706861.0,2809408.0,2911656.0,3013674.0,3115534.0,3217270.0,3319733.0,3421404.0,3523073.0,3624677.0,3726152.0,3827872.0,3929674.0,4032804.0,4158951.0,4261446.0,4370222.0,4472696.0,4575001.0,4676928.0,4778642.0,4880470.0,4982198.0,5083929.0,5185414.0,5286519.0,5387558.0,5488610.0,5589534.0,5691594.0
8,17,15,trulli,7,7,1,Finished,114273,219775,324278,427882,530751,633389,735755,837645,939440,1040979,1142853,1244357,1345725,1447178,1548483,1649685,1750945,1854171,1984930.0,2088893.0,2192279.0,2295487.0,2398317.0,2500713.0,2603078.0,2705491.0,2807854.0,2909851.0,3011782.0,3113470.0,3215317.0,3317095.0,3419020.0,3520893.0,3622866.0,3724705.0,3826430.0,3928173.0,4029344.0,4130821.0,4232073.0,4335800.0,4462278.0,4564727.0,4666370.0,4767746.0,4868916.0,4970169.0,5070892.0,5171744.0,5272482.0,5373432.0,5474266.0,5576036.0,5677780.0
1,17,2,heidfeld,2,5,1,Finished,115786,221304,325865,429278,532042,634828,737020,839105,940954,1042586,1144193,1245928,1347312,1448833,1550157,1651418,1752895,1854072,1957176.0,2085426.0,2188409.0,2291225.0,2393644.0,2495702.0,2597655.0,2700276.0,2803985.0,2905899.0,3007665.0,3109247.0,3210868.0,3312215.0,3413729.0,3514963.0,3616191.0,3717343.0,3818321.0,3919463.0,4020394.0,4121280.0,4224054.0,4350426.0,4452989.0,4554938.0,4656821.0,4758495.0,4860096.0,4961529.0,5062861.0,5164015.0,5265102.0,5365896.0,5467490.0,5568162.0,5669667.0
2,17,3,rosberg,3,9,1,Finished,116884,222426,326989,430756,533706,636444,738457,840927,942858,1044796,1146550,1248035,1349573,1450974,1552159,1653660,1754952,1858220,1986666.0,2090303.0,2194120.0,2297403.0,2400342.0,2503115.0,2605932.0,2708482.0,2810815.0,2913259.0,3015383.0,3117646.0,3219589.0,3321849.0,3423795.0,3525554.0,3627308.0,3728683.0,3830255.0,3933476.0,4061172.0,4164293.0,4266698.0,4369230.0,4471349.0,4573371.0,4675422.0,4777553.0,4879347.0,4980773.0,5081770.0,5182932.0,5283990.0,5385216.0,5486675.0,5587693.0,5689355.0
16,17,67,buemi,5,8,1,Finished,117340,223325,327675,431589,535012,637750,740172,842219,943878,1045835,1147788,1249381,1350978,1452247,1553633,1655042,1756175,1859816,1988337.0,2092339.0,2195605.0,2299104.0,2402107.0,2505451.0,2608048.0,2710646.0,2813208.0,2916063.0,3018328.0,3120592.0,3222845.0,3324882.0,3426841.0,3528482.0,3629782.0,3730873.0,3831713.0,3932873.0,4033959.0,4134840.0,4237899.0,4366720.0,4469430.0,4571387.0,4673114.0,4775144.0,4876778.0,4978374.0,5079736.0,5180745.0,5281878.0,5382777.0,5483869.0,5584382.0,5684708.0
