,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
4,67.0,8.0,raikkonen,2.0,1.0,Finished,86692.0,170454.0,253897.0,337451.0,420751.0,504535.0,587956.0,671463.0,754775.0,837942.0,920922.0,1004000.0,1086559.0,1169283.0,1255758.0,1364429.0,1448289.0,1532215.0,1616347.0,1700245.0,1784093.0,1867657.0,1951241.0,2034346.0,2117852.0,2201335.0,2284841.0,2368401.0,2451427.0,2534718.0,2618372.0,2701961.0,2785074.0,2867991.0,2950936.0,3033735.0,3117240.0,3204022.0,3310147.0,3394116.0,3478503.0,3562644.0,3647205.0,3731816.0,3817317.0,3902322.0,3987728.0,4073209.0,4158414.0,4243373.0,4328389.0,4413766.0,4500021.0
19,67.0,30.0,michael_schumacher,1.0,1.0,Finished,87714.0,171870.0,255269.0,338901.0,422275.0,505591.0,589327.0,672675.0,755981.0,839366.0,922375.0,1005522.0,1088259.0,1170834.0,1253518.0,1336163.0,1421935.0,1530864.0,1614619.0,1698242.0,1781827.0,1865409.0,1948868.0,2032070.0,2115336.0,2198955.0,2282348.0,2365503.0,2448397.0,2531469.0,2615057.0,2699575.0,2782520.0,2865410.0,2948315.0,3031722.0,3114641.0,3197710.0,3283895.0,3390376.0,3474590.0,3558546.0,3642361.0,3725964.0,3811151.0,3895501.0,3979929.0,4064826.0,4150376.0,4235832.0,4321269.0,4406107.0,4491975.0
5,67.0,9.0,kubica,3.0,1.0,Finished,89712.0,175211.0,260165.0,345038.0,429445.0,513734.0,597836.0,681701.0,765778.0,850036.0,934340.0,1018103.0,1101860.0,1185747.0,1269427.0,1353333.0,1437033.0,1520479.0,1604134.0,1687659.0,1770770.0,1857730.0,1965313.0,2049532.0,2133725.0,2217825.0,2302689.0,2386889.0,2470998.0,2555162.0,2639060.0,2723059.0,2807078.0,2891006.0,2974759.0,3058634.0,3142497.0,3226425.0,3310938.0,3395023.0,3482310.0,3588269.0,3671900.0,3756535.0,3840893.0,3926091.0,4010621.0,4095109.0,4179598.0,4264063.0,4348690.0,4433550.0,4518389.0
7,67.0,13.0,massa,9.0,1.0,Finished,90403.0,175619.0,260508.0,345475.0,429838.0,514268.0,598224.0,682278.0,766213.0,850374.0,934754.0,1018675.0,1102498.0,1186537.0,1270317.0,1354162.0,1438021.0,1521771.0,1608439.0,1716969.0,1800971.0,1885012.0,1969613.0,2053768.0,2138078.0,2222058.0,2305996.0,2391019.0,2475064.0,2558875.0,2642278.0,2725720.0,2808955.0,2892511.0,2975703.0,3059400.0,3143352.0,3227052.0,3314558.0,3421306.0,3504309.0,3588612.0,3672712.0,3762315.0,3867379.0,3951154.0,4034462.0,4117979.0,4201561.0,4285284.0,4369752.0,4453809.0,4537930.0
11,67.0,18.0,button,5.0,1.0,Finished,91282.0,176498.0,261475.0,346571.0,431301.0,515941.0,600359.0,684298.0,768544.0,852767.0,937102.0,1021201.0,1105085.0,1188808.0,1273083.0,1356795.0,1440725.0,1524712.0,1608481.0,1695565.0,1805545.0,1891311.0,1976672.0,2061632.0,2146300.0,2230565.0,2314919.0,2399168.0,2483278.0,2567932.0,2651771.0,2735567.0,2819392.0,2903208.0,2987137.0,3070667.0,3154292.0,3237819.0,3321553.0,3405966.0,3492729.0,3598122.0,3682087.0,3766854.0,3851763.0,3935785.0,4020969.0,4104616.0,4188301.0,4273332.0,4356850.0,4440734.0,4524660.0
1,67.0,2.0,heidfeld,8.0,1.0,Finished,92388.0,179568.0,264864.0,349940.0,434684.0,519301.0,603697.0,687961.0,772030.0,856080.0,940062.0,1024221.0,1108166.0,1192013.0,1275641.0,1359371.0,1443079.0,1526829.0,1610514.0,1693808.0,1781044.0,1888788.0,1973001.0,2057208.0,2145512.0,2241580.0,2325777.0,2410136.0,2494207.0,2578340.0,2663004.0,2747916.0,2831630.0,2915247.0,2998708.0,3082151.0,3165798.0,3249210.0,3332582.0,3419354.0,3524458.0,3608639.0,3693026.0,3778041.0,3862456.0,3946563.0,4031404.0,4115586.0,4200118.0,4284281.0,4369207.0,4453193.0,4537284.0
3,67.0,4.0,alonso,19.0,5.0,Engine,92466.0,177280.0,262368.0,347310.0,431953.0,516652.0,601087.0,685026.0,769285.0,853361.0,937633.0,1021690.0,1105998.0,1189521.0,1273633.0,1357649.0,1441178.0,1525340.0,1612457.0,1719354.0,1803927.0,1889163.0,1973604.0,2058011.0,2142494.0,2226369.0,2310208.0,2394136.0,2477680.0,2561257.0,2644767.0,2728276.0,2811671.0,2894821.0,2978027.0,3061316.0,3144746.0,3227867.0,3311827.0,3395379.0,3482688.0,3586458.0,3670341.0,,,,,,,,,,
22,67.0,37.0,rosa,20.0,5.0,Engine,92798.0,180090.0,265617.0,350951.0,435745.0,520344.0,605027.0,688729.0,772842.0,857035.0,940818.0,1024911.0,1108878.0,1196675.0,1308190.0,1393648.0,1478890.0,1564278.0,1649385.0,1734567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,67.0,21.0,fisichella,4.0,1.0,Finished,93619.0,180858.0,266655.0,352017.0,437121.0,522009.0,606812.0,691774.0,776708.0,861518.0,946293.0,1030665.0,1115076.0,1199581.0,1283735.0,1368060.0,1452080.0,1536406.0,1621093.0,1705279.0,1789089.0,1873250.0,1957167.0,2041038.0,2124655.0,2211748.0,2321180.0,2407252.0,2492481.0,2577501.0,2662681.0,2747488.0,2833018.0,2917463.0,3001777.0,3086067.0,3172221.0,3256797.0,3341334.0,3425693.0,3509877.0,3594067.0,3678326.0,3763432.0,3848247.0,3933096.0,4018360.0,4102621.0,4186635.0,4271019.0,4354991.0,4439379.0,4524020.0
13,67.0,22.0,barrichello,6.0,1.0,Finished,94129.0,181634.0,268032.0,354069.0,439785.0,525277.0,610650.0,695816.0,781196.0,866582.0,951575.0,1036849.0,1121707.0,1206856.0,1291881.0,1376883.0,1461826.0,1546427.0,1630902.0,1715572.0,1799746.0,1884228.0,1968772.0,2052968.0,2137102.0,2221145.0,2304939.0,2389810.0,2473648.0,2561134.0,2670867.0,2756029.0,2841127.0,2925946.0,3010827.0,3095329.0,3179916.0,3264304.0,3348944.0,3433074.0,3517258.0,3601722.0,3686003.0,3771282.0,3855974.0,3940321.0,4024796.0,4109999.0,4194455.0,4278338.0,4363257.0,4448958.0,4534384.0
2,67.0,3.0,rosberg,22.0,30.0,Driveshaft,94736.0,182234.0,269181.0,355358.0,441319.0,527231.0,613017.0,698379.0,856188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,67.0,15.0,trulli,7.0,1.0,Finished,94938.0,182993.0,269831.0,356426.0,442312.0,528259.0,613867.0,699442.0,784547.0,869480.0,954030.0,1038578.0,1123256.0,1207821.0,1292724.0,1377820.0,1462907.0,1547657.0,1632292.0,1718170.0,1802277.0,1886493.0,1970490.0,2055147.0,2139016.0,2223319.0,2308070.0,2392691.0,2480089.0,2590604.0,2675770.0,2760842.0,2845488.0,2930661.0,3015272.0,3099661.0,3184010.0,3268152.0,3352703.0,3437452.0,3521806.0,3606121.0,3690594.0,3776482.0,3861134.0,3945750.0,4030423.0,4114907.0,4199425.0,4283908.0,4368412.0,4452332.0,4536637.0
8,67.0,14.0,coulthard,12.0,11.0,+1 Lap,95700.0,184489.0,271707.0,359016.0,445644.0,531908.0,617921.0,703706.0,789747.0,875537.0,961429.0,1047183.0,1132675.0,1218544.0,1304232.0,1389706.0,1475225.0,1561002.0,1646512.0,1731829.0,1817187.0,1902490.0,1987980.0,2074354.0,2161105.0,2246907.0,2332245.0,2417640.0,2503831.0,2589270.0,2674645.0,2762864.0,2872020.0,2957148.0,3042499.0,3128916.0,3214435.0,3300820.0,3386119.0,3471385.0,3556617.0,3642009.0,3728139.0,3813715.0,3900019.0,3986850.0,4072885.0,4159497.0,4244925.0,4330064.0,4415048.0,4500600.0,
10,67.0,17.0,webber,10.0,1.0,Finished,96027.0,183458.0,270687.0,357305.0,443595.0,529670.0,615261.0,701002.0,786540.0,871644.0,957045.0,1042485.0,1127973.0,1213240.0,1298237.0,1383274.0,1467860.0,1552809.0,1637671.0,1722769.0,1807517.0,1892343.0,1977801.0,2063156.0,2147804.0,2232558.0,2316755.0,2401355.0,2485716.0,2573280.0,2683173.0,2768253.0,2853656.0,2938476.0,3023507.0,3108557.0,3194572.0,3280108.0,3365371.0,3450441.0,3535483.0,3620395.0,3705430.0,3791579.0,3877217.0,3962597.0,4047708.0,4132884.0,4217711.0,4302638.0,4387762.0,4472889.0,4564577.0
16,67.0,26.0,speed,13.0,11.0,+1 Lap,96484.0,184863.0,272313.0,359429.0,446293.0,532708.0,618810.0,704556.0,790581.0,876405.0,962530.0,1048307.0,1133815.0,1219539.0,1305189.0,1390747.0,1476498.0,1561775.0,1647395.0,1732809.0,1817939.0,1903764.0,1989013.0,2074353.0,2160208.0,2245355.0,2330716.0,2416110.0,2504195.0,2614565.0,2704024.0,2790133.0,2875819.0,2961259.0,3046579.0,3131921.0,3217489.0,3302861.0,3388363.0,3473483.0,3559373.0,3644984.0,3730246.0,3816312.0,3901751.0,3988996.0,4074365.0,4160008.0,4245695.0,4330789.0,4416133.0,4501696.0,
15,67.0,24.0,liuzzi,14.0,11.0,+1 Lap,96887.0,185629.0,273427.0,360803.0,447732.0,534357.0,620401.0,706118.0,792355.0,878204.0,964476.0,1050132.0,1135789.0,1221289.0,1307108.0,1392596.0,1477998.0,1565174.0,1650773.0,1736108.0,1821891.0,1907262.0,1992255.0,2077443.0,2162502.0,2247843.0,2333080.0,2418586.0,2504902.0,2595214.0,2705354.0,2791355.0,2877267.0,2962710.0,3048028.0,3133339.0,3218786.0,3304318.0,3389911.0,3476251.0,3561501.0,3647653.0,3733334.0,3819082.0,3904361.0,3990309.0,4075645.0,4161153.0,4247076.0,4332354.0,4417371.0,4502135.0,
14,67.0,23.0,ralf_schumacher,15.0,11.0,+1 Lap,96970.0,185126.0,272702.0,360001.0,446800.0,533143.0,619319.0,705652.0,791859.0,877527.0,963173.0,1048797.0,1134929.0,1220551.0,1305882.0,1391413.0,1476970.0,1562201.0,1647803.0,1733421.0,1818476.0,1904122.0,1989359.0,2074876.0,2161640.0,2247334.0,2332810.0,2421745.0,2530197.0,2616551.0,2704351.0,2790651.0,2876312.0,2961825.0,3047313.0,3132505.0,3218069.0,3303613.0,3389484.0,3475414.0,3560251.0,3646317.0,3732770.0,3818275.0,3903388.0,3989757.0,4075215.0,4160421.0,4247564.0,4332893.0,4418086.0,4503317.0,
20,67.0,32.0,klien,11.0,11.0,+1 Lap,97796.0,186419.0,273906.0,361392.0,448385.0,535185.0,621458.0,707283.0,793373.0,879155.0,965021.0,1050937.0,1136569.0,1222700.0,1309042.0,1394370.0,1479934.0,1565944.0,1651384.0,1736727.0,1822390.0,1907984.0,1993108.0,2078253.0,2163318.0,2248786.0,2334406.0,2419309.0,2504865.0,2591498.0,2676412.0,2761263.0,2846262.0,2931411.0,3020282.0,3128026.0,3212597.0,3297427.0,3382194.0,3466928.0,3552712.0,3637358.0,3723222.0,3812240.0,3897576.0,3982733.0,4067923.0,4153402.0,4238812.0,4324542.0,4410218.0,4495976.0,
18,67.0,29.0,yamamoto,21.0,9.0,Hydraulics,98291.0,188773.0,277768.0,367324.0,456292.0,543861.0,631315.0,718123.0,805333.0,892039.0,980698.0,1068701.0,1156068.0,1242917.0,1329465.0,1416428.0,1503667.0,1596310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
