,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,221194.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
1,222570.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,3,3,2,2,2,2,2,2,2,2
2,223668.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,4,3,3,3,3,3,3,3
3,224426.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3,4,4,4,4,4,4,4
4,226969.0,5,5,5,5,5,5,5,5,5,5,5,5,5,6,9,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,8,7,7,6,6,6,6,6,6,6,6,6,6,6
5,229476.0,6,6,7,8,8,8,8,8,8,8,9,9,9,9,7,6,6,6,5,5,5,6,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8
6,229727.0,7,7,6,6,6,6,6,6,6,6,6,6,6,7,10,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,6,8,8,7,7,7,7,7,7,7,7,7,7,7
7,230195.0,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,4,3,3,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,231651.0,9,9,9,9,10,10,10,10,10,10,10,10,10,10,8,7,7,7,7,8,13,13,13,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,233031.0,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,9,9,8,8,10,13,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,233452.0,11,11,12,12,13,13,13,13,13,13,13,13,13,15,19,19,17,17,17,17,16,15,15,15,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,235741.0,12,13,14,14,14,14,14,14,14,14,14,14,14,13,13,12,12,12,12,12,11,11,11,12,15,15,14,14,14,13,13,13,12,12,12,16,0,0,0,0,0,0,0,0
12,234327.0,13,12,10,10,9,9,9,9,9,9,8,8,8,8,6,11,11,11,11,11,10,10,9,9,8,8,8,8,8,8,7,6,6,9,9,9,9,9,9,9,9,9,9,9
13,237484.0,14,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,13,12,12,12,13,17,17,16,16,16,15,14,14,13,13,13,12,12,12,12,12,12,12,12,0
14,235897.0,15,14,13,13,12,12,12,12,12,12,12,12,12,12,12,13,18,18,18,18,17,16,16,16,14,14,13,13,13,12,16,16,16,15,15,14,14,14,14,14,14,14,14,0
15,249629.0,16,21,21,21,21,21,21,20,20,20,19,19,19,19,18,18,16,16,16,16,18,19,20,20,20,19,19,19,19,18,18,18,19,19,0,0,0,0,0,0,0,0,0,0
16,239160.0,17,16,17,18,18,18,17,17,17,17,17,17,17,17,16,16,15,15,15,15,15,14,14,14,12,12,17,17,17,16,15,15,15,14,14,13,13,13,13,13,13,13,13,0
17,239401.0,18,17,16,16,16,16,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,239784.0,19,18,18,17,17,17,16,16,16,16,16,16,16,16,15,15,14,14,14,14,14,17,17,17,16,16,15,15,15,14,12,12,14,16,16,15,15,15,15,15,15,15,15,0
19,240343.0,20,19,19,19,19,19,19,18,18,18,18,18,18,18,17,17,19,20,20,20,20,20,19,19,19,18,18,18,18,17,17,19,18,18,18,18,17,17,17,17,17,17,17,0
20,242045.0,21,20,20,20,20,20,20,19,19,19,20,20,20,20,20,20,20,19,19,19,19,18,18,18,18,20,20,20,20,19,19,17,17,17,17,17,16,16,16,16,16,16,16,0
21,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
