,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
7,1039.0,822.0,bottas,2.0,1.0,Finished,106834.0,255406.0,392484.0,525952.0,660199.0,803085.0,924337.0,1092438.0,2710133.0,2795070.0,2877505.0,2960773.0,3043571.0,3126635.0,3209836.0,3292732.0,3376182.0,3459464.0,3542600.0,3625805.0,3708967.0,3792298.0,3875529.0,3958758.0,4041930.0,4125682.0,4209062.0,4292597.0,4377402.0,4461923.0,4565183.0,4653176.0,4735050.0,4816849.0,4898765.0,4981158.0,5063234.0,5145442.0,5227720.0,5310168.0,5392315.0,5474230.0,5576853.0,5689547.0,5850767.0,7328600.0,7413591.0,7493343.0,7574344.0,7654922.0,7735518.0,7816731.0,7896163.0,7977104.0,8057861.0,8138111.0,8218165.0,8297726.0,8379940.0
1,1039.0,1.0,hamilton,1.0,1.0,Finished,110341.0,256994.0,393545.0,528166.0,661859.0,803370.0,926706.0,2501654.0,2710445.0,2793815.0,2876364.0,2958740.0,3041804.0,3125097.0,3208328.0,3291325.0,3374338.0,3458021.0,3540940.0,3624140.0,3706958.0,3790626.0,3873869.0,3956863.0,4040146.0,4123571.0,4206887.0,4289999.0,4373136.0,4456210.0,4539124.0,4639140.0,4728022.0,4810126.0,4892387.0,4974840.0,5056855.0,5138954.0,5221259.0,5303758.0,5386059.0,5468413.0,5550378.0,5677265.0,5846231.0,7328099.0,7412155.0,7492227.0,7572380.0,7653035.0,7732682.0,7814133.0,7894908.0,7975563.0,8056225.0,8136743.0,8216889.0,8295722.0,8375060.0
14,1039.0,844.0,leclerc,8.0,1.0,Finished,111398.0,257822.0,394207.0,529338.0,662738.0,803489.0,927955.0,2504121.0,2710630.0,2797238.0,2880930.0,2964561.0,3048052.0,3132205.0,3216301.0,3300691.0,3385148.0,3470486.0,3556224.0,3642250.0,3747187.0,3837877.0,3921960.0,4006245.0,4091246.0,4174944.0,4259109.0,4343827.0,4428401.0,4513843.0,4598170.0,4682100.0,4768130.0,4852103.0,4935965.0,5019453.0,5122112.0,5210530.0,5293036.0,5375731.0,5458558.0,5541900.0,5649575.0,5758981.0,7143687.0,7329590.0,7419163.0,7502105.0,7584822.0,7666051.0,7748130.0,7830276.0,7912494.0,7994697.0,8076586.0,8158239.0,8240175.0,8321411.0,8403405.0
17,1039.0,848.0,albon,3.0,1.0,Finished,112724.0,258684.0,395651.0,530301.0,663743.0,803625.0,929646.0,2507754.0,2710999.0,2800368.0,2884422.0,2968471.0,3052437.0,3136230.0,3220147.0,3304483.0,3388555.0,3471945.0,3556566.0,3639772.0,3723559.0,3807187.0,3891086.0,3974818.0,4058597.0,4142673.0,4226600.0,4310275.0,4394734.0,4479047.0,4564287.0,4665254.0,4754138.0,4836257.0,4918941.0,5001255.0,5083172.0,5165734.0,5247490.0,5329644.0,5411886.0,5493924.0,5604891.0,5715212.0,7130077.0,7329006.0,7414559.0,7495413.0,7576450.0,7656914.0,7736953.0,7817595.0,7898425.0,7979402.0,8060067.0,8140897.0,8221671.0,8301851.0,8383124.0
12,1039.0,840.0,stroll,13.0,29.0,Puncture,113996.0,259692.0,397074.0,531316.0,664783.0,803734.0,930872.0,2509639.0,2710957.0,2797652.0,2881704.0,2965592.0,3048924.0,3133049.0,3216934.0,3301441.0,3385635.0,3468894.0,3552531.0,3636154.0,3719975.0,3803790.0,3887550.0,3971469.0,4055547.0,4139617.0,4223918.0,4308140.0,4392789.0,4494625.0,4582936.0,4666053.0,4749206.0,4832444.0,4915465.0,4998499.0,5081238.0,5163561.0,5245960.0,5328504.0,5410680.0,5492748.0,,,,,,,,,,,,,,,,,
6,1039.0,817.0,ricciardo,4.0,1.0,Finished,116335.0,261121.0,398472.0,533857.0,666730.0,804315.0,932200.0,2512359.0,2711178.0,2799601.0,2883764.0,2967542.0,3051579.0,3134935.0,3218443.0,3302442.0,3386570.0,3470840.0,3554212.0,3637922.0,3721666.0,3805130.0,3888744.0,3972334.0,4056708.0,4140757.0,4241773.0,4328502.0,4413393.0,4496650.0,4580205.0,4663867.0,4747078.0,4830342.0,4913555.0,4996692.0,5079644.0,5162147.0,5244360.0,5326951.0,5409434.0,5491586.0,5599583.0,5709691.0,7125236.0,7328584.0,7413311.0,7494841.0,7575553.0,7656409.0,7738638.0,7819971.0,7901109.0,7982028.0,8062684.0,8143312.0,8223738.0,8304381.0,8385477.0
5,1039.0,815.0,perez,5.0,1.0,Finished,117098.0,262487.0,399680.0,534622.0,667224.0,804584.0,934009.0,2514740.0,2711456.0,2798982.0,2882744.0,2966974.0,3050849.0,3134642.0,3219656.0,3303935.0,3388137.0,3473550.0,3557832.0,3642669.0,3727042.0,3811588.0,3896739.0,3981438.0,4066552.0,4151857.0,4237416.0,4342065.0,4429028.0,4511139.0,4594289.0,4677573.0,4760844.0,4843766.0,4926580.0,5010203.0,5093191.0,5176064.0,5258721.0,5341854.0,5424524.0,5507142.0,5621117.0,5731590.0,7131659.0,7329142.0,7414914.0,7496741.0,7578093.0,7659176.0,7740668.0,7822124.0,7903680.0,7985300.0,8066522.0,8147642.0,8228878.0,8310078.0,8390710.0
15,1039.0,846.0,norris,6.0,1.0,Finished,119936.0,264307.0,401638.0,536240.0,668953.0,804762.0,935358.0,2518879.0,2711533.0,2801264.0,2886003.0,2969854.0,3054323.0,3138738.0,3222935.0,3307220.0,3391534.0,3475972.0,3560526.0,3645074.0,3729778.0,3813820.0,3898257.0,3982893.0,4067851.0,4152970.0,4237838.0,4322096.0,4426519.0,4515950.0,4599152.0,4682559.0,4765626.0,4848647.0,4931946.0,5014730.0,5097313.0,5180291.0,5263177.0,5345818.0,5428696.0,5511394.0,5628510.0,5741114.0,7136941.0,7329324.0,7415928.0,7498509.0,7580154.0,7661445.0,7742936.0,7824379.0,7905905.0,7987499.0,8068821.0,8150057.0,8231476.0,8312745.0,8393943.0
9,1039.0,826.0,kvyat,7.0,1.0,Finished,122355.0,266485.0,403722.0,538424.0,671404.0,805119.0,937193.0,2521488.0,2711660.0,2801809.0,2886874.0,2971056.0,3055561.0,3140396.0,3224616.0,3308838.0,3393533.0,3477986.0,3562271.0,3646582.0,3731583.0,3816020.0,3900785.0,3986139.0,4071362.0,4156313.0,4241518.0,4327207.0,4430796.0,4521623.0,4605139.0,4688155.0,4771202.0,4854428.0,4937514.0,5020103.0,5104634.0,5188187.0,5272077.0,5355615.0,5438969.0,5522374.0,5641531.0,5752995.0,7139469.0,7329348.0,7416982.0,7499433.0,7580962.0,7662711.0,7744169.0,7825800.0,7907482.0,7989152.0,8070642.0,8152166.0,8233634.0,8315222.0,8396816.0
11,1039.0,839.0,ocon,14.0,23.0,Brakes,123478.0,267334.0,405321.0,539760.0,673465.0,805258.0,939081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
