,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2,172.0,14.0,coulthard,5.0,1.0,Finished,88734.0,172075.0,256096.0,341252.0,428232.0,515497.0,603957.0,716416.0,826728.0,918659.0,1005414.0,1090739.0,1175233.0,1257732.0,1339227.0,1420363.0,1500613.0,1580959.0,1661058.0,1740001.0,1817840.0,1895403.0,1973594.0,2051704.0,2128879.0,2206401.0,2283524.0,2359601.0,2436314.0,2513918.0,2590349.0,2666719.0,2743643.0,2820261.0,2897011.0,2973230.0,3049022.0,3125810.0,3200852.0,3275563.0,3376668.0,3456752.0,3533195.0,3609943.0,3686581.0,3763123.0,3839615.0,3915805.0,3992312.0,4068677.0,4144908.0,4221741.0,4298207.0,4374631.0,4451816.0,4528070.0,4604132.0,4679920.0,4755844.0,4831670.0,4907316.0,4983400.0,5059438.0,5135356.0,5210986.0,5286672.0,5362275.0,5437769.0,5514153.0,5590015.0,5666146.0,5742319.0,5819696.0
9,172.0,30.0,michael_schumacher,1.0,1.0,Finished,89934.0,173794.0,257890.0,341969.0,428421.0,515669.0,600955.0,684811.0,768534.0,851881.0,935523.0,1018819.0,1102426.0,1185406.0,1268898.0,1376277.0,1461814.0,1541854.0,1621388.0,1700054.0,1777635.0,1855315.0,1932608.0,2009428.0,2086070.0,2162635.0,2239910.0,2316390.0,2392895.0,2469003.0,2546024.0,2621827.0,2697611.0,2773589.0,2849136.0,2925348.0,3001328.0,3076557.0,3152348.0,3228331.0,3304114.0,3379673.0,3455619.0,3531026.0,3606164.0,3681195.0,3756281.0,3831182.0,3931916.0,4012103.0,4088364.0,4164585.0,4240434.0,4316743.0,4393316.0,4469472.0,4546140.0,4622893.0,4699851.0,4777118.0,4854869.0,4931704.0,5008730.0,5086178.0,5163674.0,5240709.0,5319705.0,5396504.0,5482567.0,5559757.0,5636218.0,5713150.0,5790883.0
18,172.0,57.0,hakkinen,19.0,5.0,Engine,90772.0,175164.0,259718.0,344295.0,429432.0,516614.0,625648.0,717898.0,805054.0,890011.0,974430.0,1059842.0,1145447.0,1231435.0,1312496.0,1392649.0,1472806.0,1551560.0,1629491.0,1707280.0,1785209.0,1861705.0,1938136.0,2014450.0,2090223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,172.0,22.0,barrichello,2.0,1.0,Finished,91518.0,175985.0,260654.0,345602.0,432671.0,544835.0,638512.0,726807.0,814584.0,901537.0,988784.0,1074109.0,1158636.0,1243334.0,1326836.0,1410122.0,1491212.0,1573382.0,1653985.0,1732773.0,1811206.0,1889005.0,1967123.0,2044537.0,2121911.0,2199268.0,2276050.0,2352216.0,2429299.0,2506336.0,2583043.0,2659017.0,2734844.0,2810810.0,2887192.0,2963238.0,3039047.0,3115061.0,3190896.0,3269251.0,3346088.0,3421712.0,3496902.0,3572774.0,3648396.0,3724087.0,3800117.0,3876108.0,3951670.0,4028118.0,4102940.0,4178006.0,4277415.0,4357607.0,4433958.0,4510298.0,4586764.0,4662868.0,4738577.0,4814548.0,4890062.0,4966102.0,5041943.0,5117767.0,5193229.0,5269781.0,5346328.0,5422561.0,5498385.0,5573999.0,5650009.0,5725956.0,5803001.0
3,172.0,15.0,trulli,22.0,4.0,Collision,92373.0,227396.0,315806.0,400576.0,486247.0,575007.0,661991.0,748577.0,835988.0,921945.0,1007887.0,1140166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,172.0,18.0,button,21.0,5.0,Engine,92717.0,214172.0,309430.0,397746.0,484132.0,569739.0,655817.0,740648.0,825006.0,910059.0,993518.0,1076495.0,1159710.0,1243328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,172.0,35.0,villeneuve,4.0,1.0,Finished,94870.0,180379.0,265185.0,350743.0,436769.0,523886.0,610280.0,719990.0,813276.0,900907.0,986539.0,1072785.0,1157721.0,1241735.0,1326527.0,1408224.0,1490875.0,1571858.0,1651643.0,1730702.0,1809558.0,1887856.0,1966417.0,2043776.0,2121161.0,2198085.0,2274492.0,2351216.0,2428063.0,2504851.0,2581290.0,2657297.0,2733323.0,2809849.0,2886194.0,2962257.0,3038346.0,3114329.0,3190390.0,3273627.0,3349167.0,3424531.0,3499861.0,3575339.0,3651525.0,3727041.0,3802389.0,3877812.0,3953250.0,4028792.0,4129637.0,4210253.0,4286493.0,4362766.0,4439999.0,4515796.0,4591962.0,4668344.0,4744734.0,4820860.0,4897097.0,4973418.0,5049367.0,5125523.0,5205176.0,5280638.0,5356000.0,5431117.0,5506528.0,5581865.0,5657333.0,5733185.0,5808819.0
7,172.0,23.0,ralf_schumacher,15.0,5.0,Engine,96096.0,182724.0,267637.0,352883.0,437942.0,525074.0,638006.0,729896.0,817232.0,901676.0,986653.0,1069838.0,1153206.0,1234871.0,1315673.0,1395582.0,1474627.0,1553417.0,1631744.0,1710003.0,1788177.0,1865872.0,1943246.0,2020614.0,2097914.0,2175369.0,2252377.0,2328973.0,2405282.0,2481798.0,2558435.0,2635267.0,2712083.0,2788345.0,2864543.0,2941132.0,3018196.0,3095519.0,3200699.0,3281893.0,3358481.0,3478003.0,3559121.0,3635965.0,3712832.0,3789736.0,3868453.0,3945585.0,4023131.0,4101669.0,4179561.0,4257961.0,4369233.0,4449539.0,4525137.0,4601992.0,4678068.0,4754091.0,,,,,,,,,,,,,,,
14,172.0,49.0,frentzen,3.0,1.0,Finished,96214.0,181513.0,266534.0,351459.0,437390.0,524187.0,611119.0,696611.0,781465.0,866375.0,950766.0,1034987.0,1119163.0,1228873.0,1319474.0,1402167.0,1483054.0,1562556.0,1641889.0,1721045.0,1799820.0,1878630.0,1957187.0,2035214.0,2113099.0,2190818.0,2268300.0,2345549.0,2422555.0,2499425.0,2576358.0,2653497.0,2730060.0,2806661.0,2883318.0,2960263.0,3036787.0,3113267.0,3189621.0,3265896.0,3342536.0,3418914.0,3495378.0,3571789.0,3647938.0,3723861.0,3799774.0,3875491.0,3951353.0,4052374.0,4132319.0,4208349.0,4285097.0,4362151.0,4438825.0,4515061.0,4591503.0,4667851.0,4744261.0,4820395.0,4896418.0,4972859.0,5048919.0,5125314.0,5202020.0,5278046.0,5354136.0,5429976.0,5505497.0,5581169.0,5656959.0,5732678.0,5808251.0
21,172.0,64.0,diniz,8.0,11.0,+1 Lap,97771.0,185604.0,271948.0,357517.0,443570.0,530147.0,616589.0,702046.0,787053.0,872025.0,956953.0,1065782.0,1156522.0,1241267.0,1324087.0,1406217.0,1488885.0,1573339.0,1654357.0,1734090.0,1813879.0,1892824.0,1970522.0,2049243.0,2126824.0,2203689.0,2280806.0,2358270.0,2435264.0,2512167.0,2589010.0,2666072.0,2742845.0,2819247.0,2895993.0,2972495.0,3048879.0,3125732.0,3203340.0,3279844.0,3355965.0,3431686.0,3507609.0,3583296.0,3658777.0,3734522.0,3813074.0,3890053.0,3965536.0,4067023.0,4148722.0,4225454.0,4301892.0,4378339.0,4455104.0,4534016.0,4611417.0,4720103.0,4802259.0,4879499.0,4956471.0,5032675.0,5109013.0,5184807.0,5261135.0,5337403.0,5413816.0,5489708.0,5565013.0,5640598.0,5716095.0,5791504.0,
