,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,285669.0,1,1,1,1,1,1,1,1,2,4,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0
1,286903.0,2,2,2,2,2,2,2,2,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,4,4
2,287266.0,3,3,3,3,3,3,3,3,4,5,4,4,4,4,5,5,5,6,7,9,9,9,8,8,6,6,5,4,4,4,4,4,6,11,10,10,9,8,8,8,8,8,7,10,10,10,9,9,8,8,8,8,7,0
3,290654.0,4,4,4,4,4,4,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,9,7,7,7,5,5,5,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,2
4,292651.0,5,5,5,5,5,5,5,5,6,7,9,9,9,9,9,9,9,9,9,16,15,15,15,15,13,13,12,11,11,11,10,10,8,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,6,6,6,8,8
5,293340.0,6,6,6,6,6,6,6,6,7,6,11,10,10,10,10,10,10,10,10,12,12,11,10,9,7,7,4,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,4,4,4,4,3,4,9,9,9,9,9,7
6,294915.0,7,7,7,7,7,7,7,7,8,8,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,295845.0,8,8,8,8,8,8,10,19,18,18,18,18,18,18,18,17,17,16,16,14,13,13,12,12,10,11,10,8,8,9,8,8,7,6,6,6,6,6,6,6,6,5,5,5,5,5,4,3,3,3,3,3,2,1
8,298531.0,9,9,9,9,9,9,8,8,5,3,2,2,2,3,3,4,4,4,4,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,300231.0,10,10,10,10,10,10,9,9,9,9,7,7,7,7,7,7,7,7,6,13,16,16,14,14,11,10,8,6,6,6,6,6,4,4,4,4,4,5,5,4,4,6,9,8,8,8,7,6,4,4,4,4,3,3
10,301694.0,11,11,11,11,11,11,11,10,10,10,8,8,8,8,8,8,8,8,8,10,10,10,9,10,8,8,6,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,302587.0,12,12,12,12,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,303487.0,13,13,13,13,13,13,13,12,11,11,10,11,11,11,11,11,11,11,11,15,14,14,13,13,12,12,11,10,10,10,9,9,10,9,9,9,11,10,10,10,10,10,10,9,9,9,8,8,7,7,7,7,6,6
13,304677.0,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,4,4,4,5,6,5,5,7,13,13,12,12,12,11,10,11,11,10,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,0
14,305220.0,15,15,15,15,15,15,15,14,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,306625.0,16,16,16,16,16,16,16,15,15,16,16,16,16,16,16,15,15,15,15,11,11,12,11,11,9,9,9,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,311667.0,17,19,19,19,19,19,19,18,17,17,17,17,17,17,17,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,308211.0,18,17,17,17,17,17,17,16,14,14,15,15,15,15,15,14,14,14,14,8,8,8,16,16,14,14,13,12,12,13,11,11,9,8,8,8,8,9,9,9,9,9,8,7,7,7,6,7,6,5,5,5,5,5
18,311001.0,19,18,18,18,18,18,18,17,16,15,14,14,14,14,14,13,13,13,13,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,317012.0,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
