,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
1,194.0,14.0,coulthard,1.0,1.0,Finished,92367.0,183972.0,275035.0,365830.0,456266.0,546583.0,636955.0,727021.0,817711.0,907562.0,997418.0,1087314.0,1177017.0,1266979.0,1356540.0,1446400.0,1538709.0,1629600.0,1722462.0,1812372.0,1901869.0,1991597.0,2081124.0,2171767.0,2262970.0,2352874.0,2463930.0,2554149.0,2644188.0,2734223.0,2824093.0,2914812.0,3006127.0,3097675.0,3189253.0,3279293.0,3369922.0,3460319.0,3551370.0,3642803.0,3733024.0,3823710.0,3914698.0,4006112.0,4117858.0,4208538.0,4299758.0,4391430.0,4482060.0,4572598.0,4663223.0,4753185.0,4842876.0,4932642.0,5023010.0,5113749.0,5204285.0,5295150.0,5387815.0,5481539.0,5573260.0,5664593.0
12,194.0,57.0,hakkinen,17.0,6.0,Gearbox,93252.0,185127.0,276586.0,367365.0,457881.0,548312.0,638974.0,729586.0,820090.0,910364.0,1000786.0,1091016.0,1181174.0,1271606.0,1361721.0,1453111.0,1572032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,194.0,30.0,michael_schumacher,2.0,1.0,Finished,94335.0,186379.0,278229.0,369827.0,461026.0,552130.0,643585.0,734641.0,825896.0,917002.0,1008466.0,1099657.0,1190759.0,1281414.0,1371964.0,1462911.0,1554546.0,1645799.0,1736453.0,1827182.0,1918620.0,2009373.0,2100849.0,2191794.0,2283104.0,2374055.0,2486805.0,2576943.0,2667549.0,2758308.0,2849322.0,2941198.0,3031734.0,3122303.0,3213510.0,3303886.0,3394080.0,3484276.0,3574789.0,3666171.0,3757415.0,3848210.0,3938483.0,4028368.0,4119287.0,4210130.0,4320531.0,4409876.0,4499282.0,4588764.0,4678172.0,4768133.0,4858048.0,4947753.0,5037366.0,5127104.0,5216683.0,5306279.0,5397585.0,5487864.0,5578370.0,5669147.0
7,194.0,35.0,villeneuve,4.0,1.0,Finished,95579.0,188145.0,280816.0,373027.0,465530.0,557636.0,649796.0,741823.0,834286.0,926380.0,1018601.0,1110776.0,1202545.0,1294297.0,1386068.0,1478155.0,1570459.0,1662418.0,1754597.0,1847471.0,1939396.0,2031050.0,2122884.0,2214745.0,2306577.0,2398417.0,2514321.0,2605110.0,2697128.0,2788487.0,2879604.0,2970709.0,3062074.0,3153098.0,3243928.0,3334787.0,3425307.0,3516382.0,3607273.0,3698586.0,3790251.0,3881029.0,3971705.0,4062076.0,4178330.0,4269092.0,4359195.0,4449779.0,4540401.0,4631148.0,4722072.0,4812780.0,4903325.0,4994155.0,5085136.0,5175277.0,5265003.0,5355903.0,5446441.0,5536699.0,5627714.0,5719183.0
11,194.0,56.0,irvine,3.0,1.0,Finished,96579.0,189798.0,282829.0,375825.0,468157.0,560321.0,652176.0,744460.0,836720.0,928811.0,1020814.0,1113067.0,1204888.0,1296452.0,1388507.0,1480073.0,1571617.0,1663469.0,1755454.0,1848234.0,1940602.0,2032252.0,2124105.0,2215800.0,2307484.0,2399010.0,2489431.0,2601935.0,2692639.0,2783372.0,2874099.0,2964872.0,3055610.0,3146390.0,3236975.0,3327743.0,3418364.0,3509396.0,3603951.0,3695241.0,3787694.0,3878530.0,3970622.0,4060545.0,4171318.0,4261525.0,4352341.0,4443807.0,4535495.0,4626103.0,4716887.0,4808010.0,4899460.0,4990075.0,5080899.0,5171440.0,5261975.0,5353559.0,5444064.0,5534270.0,5624631.0,5716369.0
9,194.0,49.0,frentzen,5.0,1.0,Finished,97965.0,191913.0,285147.0,377921.0,470768.0,563485.0,656125.0,748749.0,841136.0,933731.0,1026703.0,1119593.0,1211882.0,1304086.0,1396104.0,1488247.0,1580626.0,1672851.0,1764771.0,1856369.0,1948060.0,2041203.0,2132594.0,2225063.0,2317365.0,2409146.0,2500585.0,2614315.0,2706841.0,2798707.0,2889758.0,2981606.0,3073313.0,3164707.0,3256143.0,3347296.0,3438147.0,3529375.0,3620156.0,3710439.0,3801295.0,3916522.0,4007316.0,4098436.0,4189621.0,4281166.0,4373178.0,4464886.0,4556625.0,4648189.0,4739478.0,4831007.0,4922205.0,5012990.0,5103537.0,5194852.0,5285533.0,5376361.0,5468012.0,5559633.0,5651322.0,5742070.0
3,194.0,21.0,fisichella,18.0,20.0,Spun off,99319.0,193640.0,286717.0,379062.0,471411.0,564063.0,656435.0,749023.0,841488.0,933974.0,1027009.0,1119916.0,1212211.0,1304556.0,1396525.0,1488581.0,1581139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,194.0,55.0,alesi,6.0,11.0,+1 Lap,99400.0,194686.0,288007.0,380630.0,473880.0,566559.0,658751.0,751094.0,843907.0,936392.0,1028554.0,1121230.0,1213770.0,1306358.0,1398584.0,1490642.0,1583058.0,1675249.0,1766990.0,1858200.0,1949619.0,2042845.0,2155265.0,2245656.0,2336405.0,2427386.0,2520619.0,2613734.0,2706027.0,2797211.0,2888352.0,2980911.0,3072556.0,3163660.0,3254643.0,3345689.0,3436199.0,3527146.0,3617899.0,3708781.0,3825733.0,3917752.0,4009491.0,4101781.0,4193718.0,4285430.0,4377063.0,4469395.0,4561130.0,4652737.0,4744213.0,4835888.0,4927344.0,5018800.0,5110122.0,5202237.0,5294106.0,5388874.0,5482411.0,5574984.0,5670693.0,
4,194.0,23.0,ralf_schumacher,7.0,12.0,+2 Laps,100250.0,196060.0,289612.0,382523.0,475996.0,568802.0,661443.0,754226.0,846759.0,939598.0,1032106.0,1124474.0,1216371.0,1308288.0,1400477.0,1492735.0,1585038.0,1677588.0,1770338.0,1862175.0,1954823.0,2071890.0,2164265.0,2256761.0,2349637.0,2442729.0,2536569.0,2629438.0,2722922.0,2815760.0,2911161.0,3004733.0,3099609.0,3193037.0,3287263.0,3383031.0,3504213.0,3597917.0,3692008.0,3784741.0,3877481.0,3972924.0,4066280.0,4160753.0,4255020.0,4348841.0,4441969.0,4536568.0,4630578.0,4725819.0,4819595.0,4913573.0,5007032.0,5100903.0,5195823.0,5292724.0,5387448.0,5485025.0,5579964.0,5674790.0,,
2,194.0,15.0,trulli,14.0,37.0,Throttle,100938.0,196827.0,290683.0,384073.0,477440.0,570870.0,664461.0,757065.0,849426.0,942309.0,1035114.0,1127736.0,1220482.0,1313092.0,1405591.0,1499019.0,1591587.0,1684637.0,1777214.0,1869700.0,1962449.0,2055985.0,2170366.0,2263999.0,2356615.0,2449520.0,2542052.0,2634991.0,2728119.0,2820990.0,2914274.0,3009057.0,3102192.0,3218092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
