,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,259894.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,262320.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,263126.0,3,3,4,5,5,5,5,5,5,9,9,8,8,8,9,9,9,9,9,8,7,7,7,7,7,7,7,7,7,6,6,6,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,263730.0,4,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,263613.0,5,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,264490.0,6,6,6,6,6,6,6,6,7,12,12,12,11,10,10,10,10,10,10,10,9,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,7,10,10,10,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,265143.0,7,7,7,7,7,7,7,7,8,13,13,13,12,11,11,11,11,11,11,11,10,9,9,9,9,9,9,9,13,13,12,12,12,11,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7,265429.0,8,8,8,8,8,8,8,8,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,265977.0,9,9,9,9,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,266830.0,10,10,12,12,12,13,13,12,12,7,8,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,19,19,19,19,19,19,19,19,18,17,16,16,16,16,17,16,16,16,16,16,16,16,16,16,0
10,267384.0,11,11,10,11,11,11,11,10,9,6,6,6,6,6,6,6,6,7,7,9,14,13,12,12,12,12,12,11,10,10,9,10,10,10,11,11,11,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,267826.0,12,12,11,10,10,9,9,9,10,15,15,14,13,13,13,12,12,12,12,12,11,10,10,10,10,10,10,13,12,12,10,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
12,268938.0,13,13,13,13,13,14,14,13,13,8,7,7,7,7,7,7,7,8,8,7,8,14,13,13,13,13,13,12,11,11,11,11,11,12,12,12,12,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
13,269407.0,14,14,14,15,15,15,16,15,14,10,10,11,10,12,12,13,13,13,13,13,12,11,11,11,11,11,11,10,9,9,13,14,13,13,13,13,13,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
14,270051.0,15,15,15,16,16,16,15,14,15,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,17,17,17,17,17,17,17,16,17,17,17,17,16,15,15,15,15,15,15,15,15,15,0
15,270702.0,16,16,17,17,17,17,17,16,16,11,14,15,14,14,14,14,14,14,14,14,13,12,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,13,13,13,13,13,15,0,0,0,0,0,0,0,0,0,0
16,271064.0,17,17,16,14,14,12,12,11,11,14,11,10,9,9,8,8,8,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17,287786.0,18,19,19,19,19,19,18,17,17,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,0
18,282838.0,19,18,18,18,18,18,21,20,20,20,20,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,16,17,17,16,16,16,16,16,16,16,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,0
19,297815.0,20,20,21,21,21,21,20,19,19,19,19,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,298779.0,21,21,20,20,20,20,19,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
