,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,159077.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,160867.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,161963.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
3,163811.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,7,6,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,165339.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,12,12,12,12,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,0
5,167137.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,9,9,9,9,9,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,167878.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7,168992.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,4,4,4,8,8,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
8,169682.0,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,9,9,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,171317.0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,8,6,6,5,4,4,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,5,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
