,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,raikkonen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ralf_schumacher,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,michael_schumacher,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,7,6,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,7,5,4,4,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5
3,barrichello,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,7,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,montoya,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,trulli,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,9,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,alonso,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,4,3,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,panis,8,8,8,8,8,8,8,8,8,8,12,12,12,11,11,13,11,11,11,11,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,coulthard,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,5,4,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,3,3,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
9,matta,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,9,9,9,9,9,9,9,9,14,13,13,13,13,13,13,12,12,12,12,12,11,9,8,7,7,7,10,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
10,button,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,11,10,10,10,10,10,10,10,10,9,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,0
11,webber,12,12,12,12,12,12,12,12,12,12,11,11,11,12,13,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,9,8,7,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,0
12,firman,13,13,13,13,13,13,13,13,13,16,19,18,18,17,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,10,10,0,0
13,frentzen,14,14,14,14,14,14,14,14,14,13,13,13,13,14,14,14,13,13,13,13,13,13,13,13,12,11,11,11,11,11,11,13,13,13,13,13,13,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,0
14,pizzonia,15,15,15,15,15,15,15,15,15,14,14,14,14,13,12,10,14,14,14,14,14,14,14,14,13,12,12,12,12,12,12,11,11,11,11,11,10,8,7,8,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,0
15,fisichella,16,16,16,16,16,16,16,16,16,15,15,19,19,18,17,17,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,0,0
16,verstappen,17,17,17,17,17,17,17,18,17,17,16,17,17,16,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,14,14,14,13,0,0,0
17,wilson,18,18,18,18,18,18,19,19,18,18,17,15,15,15,15,15,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,13,13,13,12,12,0,0
18,villeneuve,19,19,19,19,19,19,18,17,19,19,18,16,16,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,17,17,17,17,17,17,17,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
