,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,219236.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,221822.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,7,0,0,0,0,0
2,222610.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
3,224035.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
4,224742.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,8,8,8,8,5,4,3,3,3,3,3,3,4,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6
5,226330.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,7,8,7,7,6,6,6,6,6,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
6,226729.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,4,4,3,4,7,7,7,7,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4
7,227506.0,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
8,230169.0,9,10,10,10,10,10,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,228886.0,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5
10,230469.0,11,11,11,11,11,11,11,10,10,10,10,15,14,14,14,14,14,13,13,14,13,13,12,12,12,12,12,11,11,11,11,11,11,9,9,9,9,9,9,9,8,8,8,8,0
11,230980.0,12,12,12,13,13,13,13,13,11,11,11,10,10,10,10,10,11,14,14,13,12,12,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,231602.0,13,13,13,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,233131.0,14,14,14,14,14,14,14,14,12,12,12,11,13,13,13,13,13,12,12,11,11,11,13,13,13,14,14,12,12,12,12,12,12,10,10,10,10,10,10,10,9,9,9,9,0
14,235546.0,15,16,16,16,16,16,16,16,14,14,14,13,12,12,12,12,12,11,11,12,14,14,15,14,14,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0
15,234249.0,16,15,15,15,15,15,15,15,13,13,13,12,11,11,11,11,10,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,7,7,7,7,7
16,237082.0,17,17,17,17,17,17,17,17,15,15,15,14,15,15,15,15,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,11,11,11,11,11,11,11,10,10,10,10,0
17,237500.0,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
