,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,200266.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,1,1,1,1
1,202243.0,2,2,2,2,2,2,2,2,2,2,2,1,2,3,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,3,3,3,3
2,203568.0,3,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,2,2,2,2
3,203092.0,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,5,9,9,9,8,8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
4,205098.0,5,5,5,5,5,5,5,5,5,5,5,6,6,7,14,10,10,10,10,9,9,8,7,7,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,8,8,8,7,7,7,0
5,205405.0,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,3,4,8,8,7,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
6,206802.0,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,4,4,4,4,4,8,8,7,7,7,7,7,7,7,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6
7,208981.0,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,6,6,6,7,10,9,13,13,13,13,13,13,13,13,13,13,13,11,10,10,9,9,9,9,9,9,9,9,10,11,11,11,11,11,10,10,10,10,10,10,10,10,0
8,208067.0,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,12,11,11,11,10,10,9,11,9,9,9,9,9,9,9,9,9,9,9,9,8,9,12,12,12,10,10,10,10,10,9,9,8,8,8,8,8,8,7,7,7,8,8,8,0
9,209348.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,6,5,5,5,5,5,4,5,8,8,8,8,8,8,8,7,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
