,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,alonso,1,1,6,4,8,12,17,15,14,14,14,14,13,13,13,13,13,12,11,10,10,10,10,10,9,8,7,7,6,6,6,6,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,webber,2,2,11,10,7,9,10,10,11,11,10,8,8,8,8,8,8,8,8,8,6,6,6,6,11,12,12,12,12,12,11,11,11,11,12,12,11,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8
2,vettel,3,5,15,14,14,15,11,9,9,9,9,7,7,7,7,7,6,6,6,6,8,8,8,8,7,9,8,8,8,7,7,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,rosberg,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,button,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,hamilton,6,11,14,12,13,16,12,11,10,10,7,6,6,6,6,5,5,5,5,5,7,7,7,7,6,5,4,4,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,massa,7,8,12,11,10,10,15,13,13,13,13,13,12,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9
7,michael_schumacher,8,12,13,15,17,11,8,7,6,6,6,5,5,5,5,6,7,7,7,7,5,5,5,5,5,7,9,9,9,9,9,9,9,9,9,10,12,11,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10
8,kubica,9,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,petrov,10,7,4,7,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,7,7,7,7,7,5,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,7,7,7
10,rosa,11,9,5,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,barrichello,12,14,9,8,12,14,13,12,12,12,12,12,11,12,12,12,12,13,13,11,11,11,11,11,10,10,10,10,10,11,12,12,12,12,11,11,10,13,12,12,12,12,12,13,13,12,12,12,12,12,12,12,12,12,12,12
12,trulli,13,16,16,17,15,13,14,14,15,15,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,kovalainen,14,10,7,13,11,8,7,6,7,8,11,11,14,14,14,14,14,14,14,14,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
14,sutil,15,13,8,5,5,7,9,8,8,7,8,9,9,9,9,9,9,10,10,9,9,9,9,9,8,6,6,6,7,8,8,8,8,8,8,8,8,8,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11
15,bruno_senna,16,17,18,18,18,17,16,16,16,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
16,hulkenberg,17,18,17,16,16,19,18,17,17,16,15,15,15,15,15,15,15,15,15,15,14,14,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
17,alguersuari,18,15,10,9,9,6,6,5,5,5,5,10,10,10,10,10,10,9,9,13,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,12,9,9,9,9,9,9,11,13,13,13,13,13,13,13,13,13,13,13
18,chandhok,19,19,19,19,19,18,19,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
