,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,169927.0,1,1,1,1,1,1,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,172612.0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,174422.0,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,175424.0,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
4,176102.0,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
5,177705.0,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,178462.0,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,179581.0,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,180339.0,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,180993.0,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,11,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8
10,181781.0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,182328.0,12,12,12,12,12,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,12,12,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11
12,182971.0,13,13,13,13,13,12,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,8,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
13,183987.0,14,14,14,14,14,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,9,9,8,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,8,7,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10
14,184573.0,15,15,15,15,15,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,10,10,10,10,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
15,186221.0,16,16,16,17,17,16,16,16,15,15,15,15,15,15,15,15,14,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
16,189182.0,17,18,18,18,18,17,17,17,16,16,16,16,16,16,16,16,15,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
17,186828.0,18,17,17,16,16,15,15,15,14,14,14,14,14,14,14,14,16,16,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
18,190601.0,19,19,19,19,19,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,191255.0,20,20,20,20,20,19,19,19,17,17,17,17,17,17,17,17,17,17,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
