,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,188580.0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,190321.0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,191353.0,3,3,3,3,3,3,3,3,3,3,3,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,192399.0,4,4,4,4,4,4,4,4,4,4,4,3,7,9,8,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,10,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
4,193951.0,5,5,5,6,6,6,6,6,6,7,13,13,12,12,10,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
5,194690.0,6,6,6,5,5,5,5,5,5,5,5,4,2,2,2,5,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,195595.0,7,7,7,7,7,7,7,18,20,17,15,11,11,10,9,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,10,12,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7,197350.0,8,8,8,8,9,9,9,8,8,8,7,6,5,5,5,11,11,10,10,10,10,9,9,9,9,9,9,9,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,198046.0,9,9,9,9,8,8,8,7,7,6,6,8,10,7,7,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
9,199334.0,10,10,10,10,10,10,10,9,9,9,8,15,15,15,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,200094.0,11,11,11,11,11,11,11,10,10,10,9,7,6,6,6,14,13,13,13,13,14,13,13,13,13,13,13,12,12,12,12,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13
11,200651.0,12,12,12,12,12,12,12,11,11,11,10,9,8,8,15,18,15,15,15,14,13,12,12,12,12,12,12,13,13,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,0
12,201545.0,13,13,13,13,13,13,13,12,12,12,11,16,16,16,16,15,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
13,202368.0,14,14,14,14,14,14,14,13,13,14,19,19,19,19,19,19,17,17,17,17,18,17,17,17,16,16,15,15,15,14,14,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
14,202854.0,15,15,15,15,15,15,15,14,15,15,18,17,17,17,17,16,14,14,14,15,15,14,14,14,14,14,17,17,17,17,17,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,203387.0,16,16,16,16,17,17,17,16,16,20,20,18,18,18,18,17,16,16,16,16,16,15,15,15,17,17,16,16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,0
16,203765.0,17,17,17,17,16,16,16,15,14,13,12,10,9,11,11,9,10,11,11,11,11,10,10,10,10,10,10,10,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
17,205067.0,18,18,18,18,18,18,18,17,17,16,14,12,13,13,12,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
18,205875.0,19,19,19,19,19,19,19,19,18,19,17,20,20,20,20,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,216438.0,20,20,20,20,20,20,20,20,19,18,16,14,14,14,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,286630.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,18,18,18,17,16,16,16,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12
