,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
10,971.0,822.0,bottas,3.0,1.0,Finished,98125.0,194887.0,291660.0,388123.0,484648.0,581804.0,679095.0,776169.0,873181.0,970798.0,1068146.0,1165362.0,1274918.0,1441010.0,1585561.0,1729041.0,1824990.0,1920082.0,2015091.0,2110033.0,2205158.0,2300149.0,2395962.0,2491687.0,2587462.0,2684087.0,2781374.0,2877520.0,2973561.0,3071926.0,3185752.0,3280466.0,3374553.0,3468944.0,3563680.0,3658874.0,3753273.0,3848148.0,3943121.0,4037768.0,4132294.0,4226975.0,4321349.0,4416188.0,4511009.0,4605652.0,4702279.0,4797735.0,4892443.0,4987565.0,5082474.0,5177499.0,5273486.0,5368361.0,5463516.0,5558612.0,5653771.0
5,971.0,20.0,vettel,1.0,1.0,Finished,98586.0,195519.0,292317.0,388901.0,485399.0,582420.0,679902.0,776779.0,873834.0,974139.0,1088953.0,1183550.0,1294475.0,1439792.0,1584208.0,1728453.0,1823718.0,1918520.0,2013023.0,2107774.0,2202472.0,2297273.0,2392430.0,2487618.0,2582574.0,2677972.0,2773304.0,2868647.0,2963996.0,3059388.0,3154953.0,3250498.0,3349086.0,3462708.0,3556712.0,3650538.0,3744829.0,3839122.0,3933712.0,4028217.0,4122848.0,4217381.0,4311746.0,4406108.0,4500178.0,4594274.0,4688540.0,4783040.0,4877916.0,4972093.0,5066077.0,5160162.0,5255321.0,5349849.0,5443931.0,5538326.0,5633374.0
1,971.0,1.0,hamilton,2.0,1.0,Finished,99371.0,196318.0,293185.0,389687.0,486201.0,582973.0,680652.0,777773.0,875018.0,972355.0,1068919.0,1166015.0,1281515.0,1443137.0,1588320.0,1729840.0,1825642.0,1920948.0,2015792.0,2111067.0,2206276.0,2301496.0,2397200.0,2492800.0,2588405.0,2684718.0,2779666.0,2874654.0,2969845.0,3064620.0,3160012.0,3254832.0,3350124.0,3445837.0,3540980.0,3636268.0,3731673.0,3826959.0,3922483.0,4018042.0,4116126.0,4236471.0,4329433.0,4422320.0,4515242.0,4608040.0,4701632.0,4795164.0,4888201.0,4981549.0,5074881.0,5168256.0,5262115.0,5355719.0,5450351.0,5545114.0,5640034.0
14,971.0,830.0,max_verstappen,18.0,23.0,Brakes,100415.0,197131.0,294054.0,390735.0,487451.0,584260.0,681416.0,778345.0,875695.0,973201.0,1072490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,971.0,817.0,ricciardo,5.0,1.0,Finished,101086.0,198218.0,295061.0,391722.0,488629.0,585361.0,682158.0,779044.0,876303.0,973841.0,1070852.0,1167542.0,1281893.0,1441594.0,1587314.0,1729741.0,1828805.0,1925205.0,2021258.0,2117526.0,2213696.0,2309631.0,2406117.0,2502703.0,2599360.0,2696072.0,2792437.0,2889048.0,2985766.0,3081569.0,3177690.0,3273910.0,3370095.0,3466370.0,3562545.0,3658420.0,3755280.0,3851416.0,3949751.0,4065061.0,4158809.0,4252304.0,4346297.0,4440363.0,4534324.0,4628523.0,4722967.0,4817504.0,4912480.0,5007257.0,5101762.0,5196769.0,5291300.0,5386195.0,5481282.0,5576845.0,5672720.0
4,971.0,13.0,massa,6.0,1.0,Finished,101849.0,199248.0,296384.0,393443.0,490764.0,588252.0,685834.0,784399.0,881993.0,980104.0,1077638.0,1175428.0,1288342.0,1444718.0,1589523.0,1730333.0,1827173.0,1923038.0,2018886.0,2115040.0,2211139.0,2307415.0,2404121.0,2501901.0,2598283.0,2695092.0,2791621.0,2888386.0,2986880.0,3083668.0,3180484.0,3277265.0,3374088.0,3471221.0,3568130.0,3664943.0,3764124.0,3878168.0,3972424.0,4066973.0,4161438.0,4256301.0,4351193.0,4446165.0,4541260.0,4636672.0,4731948.0,4827381.0,4923103.0,5019058.0,5114665.0,5210401.0,5306409.0,5401854.0,5497391.0,5592591.0,5687700.0
3,971.0,8.0,raikkonen,4.0,1.0,Finished,102370.0,199998.0,296831.0,394431.0,491597.0,588789.0,686171.0,782794.0,879623.0,976729.0,1073622.0,1172761.0,1312012.0,1446464.0,1592745.0,1730745.0,1827884.0,1923686.0,2019497.0,2115578.0,2211775.0,2307933.0,2404548.0,2500182.0,2595926.0,2691779.0,2787622.0,2883624.0,2979640.0,3075314.0,3171501.0,3267676.0,3363994.0,3460015.0,3556531.0,3653126.0,3751952.0,3867711.0,3961478.0,4055483.0,4150012.0,4243886.0,4338074.0,4431808.0,4525969.0,4620148.0,4714528.0,4808803.0,4902558.0,4997127.0,5090954.0,5184937.0,5279362.0,5373084.0,5466804.0,5560795.0,5655849.0
7,971.0,807.0,hulkenberg,9.0,1.0,Finished,103251.0,201071.0,298652.0,396187.0,494434.0,592352.0,690101.0,788322.0,886474.0,985053.0,1082932.0,1180796.0,1295678.0,1447543.0,1593691.0,1731653.0,1829494.0,1927381.0,2024778.0,2121822.0,2218767.0,2315800.0,2412833.0,2509950.0,2607182.0,2704465.0,2801422.0,2898691.0,2995954.0,3093336.0,3190581.0,3287966.0,3385488.0,3482771.0,3580234.0,3680541.0,3798366.0,3894286.0,3991000.0,4086372.0,4182456.0,4277915.0,4373462.0,4469232.0,4564752.0,4660378.0,4755977.0,4851564.0,4947046.0,5042812.0,5138653.0,5234697.0,5330351.0,5426361.0,5522286.0,5617883.0,5713562.0
6,971.0,154.0,grosjean,8.0,1.0,Finished,103859.0,201920.0,299944.0,398094.0,495982.0,593875.0,691964.0,789909.0,887973.0,986750.0,1084812.0,1185699.0,1327369.0,1459094.0,1597076.0,1732765.0,1830016.0,1927861.0,2025390.0,2122606.0,2219490.0,2316705.0,2413946.0,2511123.0,2608227.0,2705498.0,2802722.0,2899749.0,2996934.0,3094656.0,3194499.0,3310523.0,3405471.0,3501596.0,3597103.0,3692775.0,3788779.0,3884620.0,3980546.0,4076471.0,4172213.0,4267649.0,4363268.0,4458663.0,4554568.0,4650293.0,4746162.0,4842157.0,4938269.0,5034504.0,5130527.0,5226766.0,5322935.0,5419315.0,5515320.0,5611815.0,5708239.0
18,971.0,839.0,ocon,10.0,1.0,Finished,104591.0,202866.0,301014.0,399313.0,497417.0,595483.0,693629.0,791736.0,889773.0,988388.0,1089414.0,1206426.0,1329416.0,1460466.0,1597812.0,1733041.0,1831488.0,1928610.0,2026160.0,2123488.0,2220369.0,2317789.0,2414845.0,2512029.0,2609169.0,2706771.0,2804125.0,2901313.0,2998748.0,3096286.0,3193750.0,3290887.0,3388135.0,3485498.0,3582668.0,3680218.0,3780300.0,3896419.0,3991598.0,4088017.0,4183760.0,4279362.0,4374921.0,4470227.0,4565805.0,4661745.0,4757619.0,4853456.0,4949342.0,5045011.0,5140700.0,5237030.0,5332822.0,5428632.0,5524702.0,5620578.0,5729085.0
15,971.0,832.0,sainz,16.0,4.0,Collision,105175.0,203588.0,301719.0,400042.0,498344.0,596429.0,694456.0,792482.0,890598.0,989189.0,1087342.0,1188540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,971.0,835.0,jolyon_palmer,13.0,11.0,+1 Lap,105619.0,204482.0,302756.0,401230.0,501219.0,599919.0,698830.0,797840.0,896748.0,995701.0,1094425.0,1193145.0,1313167.0,1464158.0,1600027.0,1733855.0,1833280.0,1932254.0,2030932.0,2129275.0,2226992.0,2324143.0,2422126.0,2520462.0,2618814.0,2716716.0,2814428.0,2912194.0,3010092.0,3110333.0,3208071.0,3305889.0,3403538.0,3501153.0,3599300.0,3697056.0,3797802.0,3917822.0,4013959.0,4110153.0,4206125.0,4301878.0,4397430.0,4493243.0,4589019.0,4685034.0,4781117.0,4877934.0,4975178.0,5071596.0,5167668.0,5265512.0,5361969.0,5459322.0,5555876.0,5652636.0,
