,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,201979.0,1,1,1,1,1,1,1,1,1,7,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,208420.0,2,4,4,4,4,4,4,4,4,4,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,1,2,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
2,203101.0,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
3,205649.0,4,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,4,6,6,5,4,4,4,4,4,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,209027.0,5,6,6,6,6,6,6,6,6,5,6,5,4,4,4,4,4,4,4,5,9,9,9,9,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,208575.0,6,5,5,5,5,5,5,5,5,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,3,3,5,4,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
6,209751.0,7,7,7,7,7,7,7,7,8,11,10,8,8,7,7,7,7,7,7,7,6,6,6,7,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,210186.0,8,8,10,10,9,9,9,9,7,6,4,11,10,10,9,9,9,9,9,9,8,8,8,8,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,210430.0,9,9,8,9,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,211295.0,10,10,9,8,8,8,8,8,9,13,11,9,9,9,8,8,8,8,8,8,7,7,7,6,11,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
10,215523.0,11,15,15,18,17,16,16,16,15,10,9,7,7,8,11,11,11,11,11,11,11,11,11,11,10,9,9,8,8,8,8,8,8,8,8,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0
11,212849.0,12,11,11,11,10,10,10,10,10,14,13,12,11,11,10,10,10,10,10,10,10,10,10,10,9,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,0
12,213899.0,13,12,12,12,11,11,11,11,11,8,8,10,16,17,17,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,15,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,214779.0,14,13,13,13,12,12,12,12,12,12,16,16,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,12,12,12,12,12,12,12,12,12,13,13,13,13,12,11,11,11,10,10,10,10,10,10,10,10,9,9,9,0
14,215235.0,15,14,14,14,13,13,13,13,14,15,14,13,12,12,12,12,12,12,12,12,12,12,13,15,15,15,14,13,13,13,13,13,13,13,13,13,14,14,14,14,13,12,12,12,12,12,12,11,11,11,11,11,10,10,10,0
15,223804.0,16,19,17,15,14,14,14,15,16,16,15,14,13,13,13,13,13,13,13,13,13,13,12,12,12,11,15,14,14,14,14,14,14,14,14,14,12,12,12,12,11,13,13,13,13,13,13,13,13,13,13,12,11,11,11,0
16,222803.0,17,17,18,17,16,17,17,17,17,19,18,18,18,18,18,18,18,18,18,18,18,19,18,18,19,18,18,17,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,14,0,0,0
17,219155.0,18,16,16,16,15,15,15,14,13,9,12,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,11,11,11,12,12,12,12,13,12,12,12,0
18,223690.0,19,18,19,19,18,18,18,18,18,17,19,19,19,19,20,20,20,20,20,20,20,20,20,19,18,19,19,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
19,237817.0,20,20,20,20,19,19,19,19,19,18,17,17,17,16,16,16,16,16,16,16,16,17,19,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,0,0
