,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,194147.0,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,9,8,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,199117.0,2,4,4,4,4,4,4,4,4,4,4,4,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
2,196068.0,3,2,2,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3
3,197934.0,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
4,199888.0,5,5,5,5,5,5,5,5,5,5,5,8,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,200655.0,6,6,6,18,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,19,19,18,18,18,18,18,18,17,17,17,17,17,0,0,0,0
6,201411.0,7,7,7,6,6,9,10,9,10,11,15,12,12,12,12,12,12,13,13,13,13,13,13,13,11,11,11,11,11,12,12,12,13,11,12,13,13,15,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,0
7,201889.0,8,8,8,8,8,7,7,7,8,14,10,9,8,8,7,7,7,7,7,7,8,8,8,7,7,8,8,8,8,8,8,8,8,12,11,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7
8,202484.0,9,9,9,7,7,6,6,6,6,6,6,5,4,2,2,4,4,6,6,6,6,6,6,9,13,12,12,12,12,11,11,11,9,8,7,7,7,7,7,6,7,7,7,8,9,9,9,9,9,9,9,10,10,0,0,0,0
9,203012.0,10,10,10,10,10,10,9,11,17,15,11,10,9,11,11,11,10,10,10,10,10,11,11,11,10,10,10,10,10,10,10,10,11,15,15,15,15,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10
10,203399.0,11,11,11,9,9,8,8,8,7,7,7,6,10,9,9,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,10,9,8,8,8,8,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0
11,204437.0,12,12,12,11,11,11,12,12,13,17,17,14,13,13,13,13,11,11,11,11,11,10,10,10,9,9,9,9,9,9,9,9,7,7,6,6,6,6,5,11,11,11,11,10,10,10,10,10,10,10,10,9,9,8,8,8,8
12,205739.0,13,14,14,13,13,13,13,13,14,16,16,15,14,14,14,14,13,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,13,13,12,12,12,11,10,10,10,10,11,11,11,11,11,11,11,11,11,11,9,9,9,9
13,204867.0,14,13,13,12,12,12,11,10,9,9,14,11,11,10,10,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,5,6,9,9,9,9,8,7,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6
14,206864.0,15,16,16,15,15,15,15,15,12,10,9,7,7,7,8,10,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,10,10,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11
15,206393.0,16,15,15,14,14,14,14,14,11,8,8,13,16,16,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,0
16,208339.0,17,17,17,17,17,16,16,16,15,12,13,17,15,15,16,16,16,16,16,16,16,17,17,17,17,17,16,18,18,18,19,19,19,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,19,19,19,19,19,16,16,0,0
17,208478.0,18,18,18,16,16,17,17,17,16,13,12,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,15,15,15,0
18,260031.0,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,18,18,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,0
19,264979.0,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
