,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,316866.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,318503.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,4,4,4,4,3,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
2,320120.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
3,321342.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
4,323282.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
5,324545.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,10,10,10,10,10,9,10,9,9,9,9,9,8,8,8,10,11,12,12,12,12,12,14,15,14,13,0
6,326053.0,7,7,7,7,7,7,7,7,7,8,9,10,11,12,11,11,10,13,13,14,15,15,15,15,15,18,18,17,15,15,15,15,15,15,15,15,15,15,15,15,14,13,12,0
7,327665.0,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,13,12,11,11,11,11,11,10,9,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,330289.0,9,9,9,9,9,9,9,9,9,9,8,8,9,16,14,14,13,12,12,12,12,12,12,11,10,10,10,10,10,9,10,11,11,10,10,10,11,11,10,10,10,10,10,9
9,332055.0,10,10,10,10,10,10,10,10,10,10,10,9,8,10,17,17,16,16,15,15,14,14,14,13,12,12,13,13,14,13,14,14,14,14,14,14,14,14,14,12,12,12,11,10
10,333607.0,11,11,11,11,11,11,11,11,11,11,11,11,10,8,8,7,6,6,6,5,6,6,6,7,13,13,12,12,11,10,9,9,8,7,7,7,8,8,8,8,8,8,8,7
11,335128.0,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,8,7,7,7,7,7,7,7,6,6,6,6,6,8,14,13,12,12,12,11,11,10,9,9,9,9,9,0,0
12,337140.0,13,13,13,13,14,14,14,14,14,14,13,13,13,11,10,9,8,8,8,8,8,8,11,14,14,14,14,14,13,12,11,10,9,8,8,8,7,7,7,7,7,7,7,5
13,338242.0,14,14,14,14,13,13,13,13,13,13,16,18,18,17,16,16,15,14,14,13,13,13,13,12,11,11,11,11,12,11,12,13,13,13,13,13,13,13,13,11,11,11,9,8
14,340839.0,15,15,15,15,15,16,17,17,17,17,17,16,16,15,15,15,17,17,17,17,17,17,17,17,17,16,16,16,17,18,18,16,16,16,16,16,16,16,16,16,16,16,15,0
15,341981.0,16,16,16,16,17,18,18,18,18,18,18,17,17,18,18,18,18,18,18,18,18,18,18,18,18,17,17,18,18,17,17,17,17,17,17,17,18,18,18,18,18,18,17,0
16,343658.0,17,17,17,17,16,15,15,15,15,15,14,14,14,13,12,10,9,9,9,9,9,9,8,8,7,8,8,8,7,7,7,7,7,9,9,9,9,10,11,13,13,15,14,0
17,349354.0,18,18,18,18,18,17,16,16,16,16,15,15,15,14,13,12,14,15,16,16,16,16,16,16,16,15,15,15,16,16,16,18,18,18,18,18,17,17,17,17,17,17,16,0
18,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
