,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
11,96,30,michael_schumacher,6,1,1,Finished,95316,185428,275173,364915,454609,544244,633712,725783,838950,930155.0,1021700.0,1112503.0,1203104.0,1293721.0,1384431.0,1475838.0,1566473.0,1657153.0,1747964.0,1838470.0,1929093.0,2019530.0,2109979.0,2200742.0,2292877.0,2385169.0,2476036.0,2569517.0,2681412.0,2772724.0,2863961.0,2956683.0,3047831.0,3138893.0,3229551.0,3320363.0,3411151.0,3502134.0,3592449.0,3684531.0,3775140.0,3866106.0,3957350.0,4050691.0,4164018.0,4255294.0,4348593.0,4442306.0,4536115.0,4629201.0,4722162.0,4814297.0,4906638.0,4998872.0,5090826.0,5182130.0,5273325.0,5364268.0,5455113.0,5555101.0
2,96,8,raikkonen,1,18,5,Engine,97721,189391,281536,373874,466121,558349,650795,743048,837943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,96,4,alonso,4,5,1,Finished,98568,190164,281878,374285,466660,558910,651168,743505,835572,929347.0,1042749.0,1136663.0,1230049.0,1327074.0,1419853.0,1512328.0,1604891.0,1697531.0,1790118.0,1882674.0,1975662.0,2067993.0,2160860.0,2252724.0,2344362.0,2436028.0,2527769.0,2619153.0,2710218.0,2804270.0,2913850.0,3005050.0,3096588.0,3189277.0,3281040.0,3373179.0,3465053.0,3556566.0,3648208.0,3740627.0,3832724.0,3928189.0,4037154.0,4129304.0,4221450.0,4313994.0,4408890.0,4502173.0,4595096.0,4688173.0,4780905.0,4875047.0,4967727.0,5060400.0,5152966.0,5245596.0,5338696.0,5431307.0,5523090.0,5616088.0
3,96,11,sato,16,16,5,Engine,99639,191280,283055,374981,467263,559489,651794,744028,836232,927272.0,1017276.0,1110052.0,1218774.0,1308792.0,1399461.0,1489987.0,1580807.0,1672466.0,1763853.0,1854875.0,1945523.0,2036406.0,2126945.0,2217748.0,2308574.0,2401809.0,2513341.0,2603466.0,2694135.0,2785205.0,2877115.0,2969522.0,3061278.0,3152617.0,3244635.0,3336752.0,3429118.0,3520214.0,3611312.0,3702320.0,3793223.0,3884002.0,3975273.0,4069777.0,4180758.0,4287273.0,4407792.0,,,,,,,,,,,,,
10,96,22,barrichello,6,2,1,Finished,100500,192734,284233,376204,468113,560206,652528,744648,836966,928425.0,1019421.0,1109867.0,1200112.0,1290213.0,1383191.0,1497654.0,1589301.0,1681039.0,1773850.0,1865422.0,1956771.0,2048423.0,2139657.0,2230841.0,2322049.0,2413117.0,2504216.0,2595373.0,2687318.0,2779149.0,2871306.0,2963155.0,3055939.0,3147958.0,3240388.0,3331017.0,3421387.0,3515225.0,3629856.0,3721660.0,3813075.0,3904673.0,3996571.0,4088047.0,4180392.0,4275291.0,4368741.0,4462174.0,4555153.0,4647571.0,4740411.0,4833621.0,4926078.0,5018174.0,5109894.0,5202309.0,5295124.0,5387256.0,5478985.0,5573090.0
8,96,18,button,16,3,1,Finished,101005,193466,285514,377077,468920,560908,653183,745297,837641,929132.0,1022884.0,1134961.0,1225418.0,1316194.0,1407727.0,1500370.0,1593457.0,1686671.0,1778564.0,1870067.0,1961379.0,2052127.0,2142847.0,2233420.0,2326784.0,2438032.0,2528966.0,2620871.0,2712591.0,2804502.0,2896132.0,2987759.0,3079170.0,3170691.0,3262423.0,3354793.0,3446729.0,3538244.0,3630948.0,3722994.0,3814705.0,3906137.0,3997840.0,4089207.0,4184977.0,4294503.0,4385040.0,4476323.0,4568231.0,4660299.0,4753050.0,4844312.0,4935164.0,5027095.0,5118646.0,5209695.0,5300646.0,5391415.0,5482609.0,5577634.0
6,96,15,trulli,4,4,1,Finished,101285,194525,286414,377969,469822,561612,653939,745952,840629,952278.0,1045858.0,1139508.0,1232740.0,1325853.0,1418301.0,1510716.0,1603046.0,1695561.0,1788497.0,1880521.0,1972953.0,2065733.0,2157546.0,2249006.0,2340204.0,2431467.0,2522626.0,2616671.0,2727185.0,2818316.0,2909769.0,3001466.0,3093602.0,3185710.0,3277400.0,3368746.0,3460417.0,3551814.0,3644113.0,3736197.0,3827999.0,3919372.0,4010783.0,4105130.0,4216408.0,4308207.0,4401038.0,4493985.0,4586601.0,4679500.0,4772637.0,4864705.0,4957067.0,5049330.0,5142090.0,5234991.0,5327566.0,5420423.0,5513057.0,5608774.0
14,96,44,panis,7,11,11,+1 Lap,101885,195198,287987,381188,474304,567474,660455,753593,846921,943423.0,1056473.0,1148979.0,1242383.0,1335414.0,1428643.0,1521808.0,1614563.0,1707674.0,1802301.0,1895790.0,1988938.0,2082889.0,2180607.0,2294740.0,2389122.0,2482852.0,2577208.0,2673513.0,2768915.0,2863586.0,2960409.0,3054765.0,3150131.0,3244138.0,3339328.0,3433342.0,3527807.0,3621637.0,3715680.0,3809213.0,3902042.0,3998717.0,4112805.0,4206390.0,4300358.0,4394930.0,4490432.0,4584572.0,4678384.0,4774095.0,4868433.0,4962084.0,5055623.0,5149864.0,5243199.0,5337730.0,5433265.0,5528640.0,5623733.0,
5,96,14,coulthard,1,17,5,Engine,102457,196157,289763,383675,477082,570536,663778,756944,850816,943681.0,1036426.0,1129195.0,1222303.0,1314640.0,1407215.0,1499902.0,1592996.0,1686536.0,1781083.0,1877870.0,1991079.0,2084854.0,2179263.0,2272780.0,2366125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,96,32,klien,19,12,11,+1 Lap,103316,197709,291509,385642,479660,573514,667152,760894,854477,947916.0,1041269.0,1134644.0,1228759.0,1321563.0,1414672.0,1510385.0,1625680.0,1719091.0,1813572.0,1907959.0,2003202.0,2099502.0,2194733.0,2289564.0,2384479.0,2480353.0,2575047.0,2671979.0,2768213.0,2862786.0,2958317.0,3052298.0,3146506.0,3241376.0,3335328.0,3431520.0,3548402.0,3642324.0,3735822.0,3831221.0,3926252.0,4021389.0,4116291.0,4210983.0,4305655.0,4400066.0,4496326.0,4590686.0,4685438.0,4779636.0,4876055.0,4970670.0,5064487.0,5158758.0,5252560.0,5346068.0,5441524.0,5535640.0,5631086.0,
