,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,237582.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
1,238217.0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,8,9,9,8,8,7,7,7,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
2,239647.0,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,240180.0,4,4,4,4,4,4,4,4,4,4,4,4,4,13,9,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,10,12,12,11,9,9,9,9,9,8,8,8,7,7,6,6,6,6,6,6,6,6,7,7,7,9,9,9,9,9,9,9,9,9,9,7
4,241235.0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,12,13,12,11,11,11,11,9,9,9,9,8,8,8,8,8,8,8,8,7,6,5,4,4,4,4,3,3,3,3,2,1,1,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,0
5,242605.0,6,6,6,6,6,6,6,6,6,6,6,6,15,14,10,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,4,6,8,7,7,6,6,6,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1
6,244067.0,7,7,7,7,7,7,7,7,7,7,7,7,6,5,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,7,7,6,11,11,11,11,11,11,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8
7,244843.0,8,8,8,8,8,8,8,8,8,8,8,8,7,6,3,10,9,9,9,9,9,8,8,8,8,9,9,9,9,9,9,9,9,8,7,6,5,5,5,5,4,4,4,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,8,6
8,246965.0,9,9,9,9,9,9,9,9,9,9,9,9,8,7,4,3,11,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,10,12,15,15,15,15,15,15,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10
9,247490.0,10,10,10,10,10,10,10,11,11,11,11,11,10,17,15,14,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,13,13,12,12,12,12,12,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,6,4
