,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,213689.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,214253.0,2,2,2,7,14,13,12,11,11,11,11,11,11,10,9,9,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
2,216039.0,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,216797.0,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,218243.0,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,6,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,218726.0,6,6,6,5,5,5,5,5,5,5,5,4,4,4,8,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,219517.0,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,6,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5
7,221694.0,8,8,8,8,7,7,7,7,7,7,7,7,7,8,11,11,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,11,10,10,9,9,9,8,8,8,8,8,8,8,8,9,9,9,9,9
8,222577.0,9,9,9,9,8,8,8,8,8,8,8,8,8,7,6,6,11,9,9,9,9,9,9,9,9,9,9,9,10,12,12,11,10,9,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
9,223885.0,10,10,10,10,9,9,9,9,9,9,9,9,9,9,7,8,8,10,10,10,10,10,10,10,10,10,10,10,9,9,9,12,11,10,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
10,225313.0,11,11,11,11,10,10,10,10,10,10,10,10,10,11,10,10,9,11,11,11,11,11,11,11,11,11,11,11,11,10,10,9,8,12,11,11,10,10,10,9,9,9,9,9,9,9,10,10,10,10,10,10
11,226701.0,12,12,12,12,11,11,11,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,228471.0,13,13,13,13,12,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,0
13,232606.0,14,15,15,15,15,15,15,15,15,15,16,16,16,15,15,14,13,13,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,231482.0,15,14,14,14,13,14,14,14,14,14,14,14,14,13,14,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,233190.0,16,16,16,16,16,16,16,16,16,17,17,17,17,16,16,15,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,14,13,13,12,12,12,12,12,12,12,12,12,12,12,0,0
16,255862.0,17,18,18,18,18,18,18,17,17,16,15,15,15,14,13,13,14,14,13,13,12,12,12,12,12,12,12,12,12,11,11,10,9,8,12,12,11,11,11,10,10,10,10,10,10,10,9,8,8,8,8,8
17,234515.0,18,17,17,17,17,17,17,18,18,18,18,18,18,17,17,17,16,16,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,15,14,14,13,13,13,13,13,13,13,13,13,13,13,0,0
