,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
10,98.0,22.0,barrichello,2.0,1.0,Finished,97479.0,227724.0,353217.0,474825.0,591085.0,663341.0,733740.0,804315.0,875341.0,946549.0,1050481.0,1181815.0,1338938.0,1485181.0,1634523.0,1768411.0,1896829.0,2017497.0,2126938.0,2199144.0,2271610.0,2343920.0,2416317.0,2489370.0,2561841.0,2634247.0,2706559.0,2778862.0,2851181.0,2923197.0,2995201.0,3067076.0,3138702.0,3210285.0,3282233.0,3353624.0,3425095.0,3496944.0,3568328.0,3639752.0,3710941.0,3781956.0,3852703.0,3923430.0,3994113.0,4064564.0,4135138.0,4205634.0,4276941.0,4367945.0,4444139.0,4516905.0,4589293.0,4661655.0,4733859.0,4806196.0,4878658.0,4951045.0,5022985.0,5094903.0,5167193.0,5239713.0,5311998.0,5384132.0,5456421.0,5528642.0,5601483.0,5674145.0,5746241.0,5818125.0,5890331.0,5961652.0,6032864.0
12,98.0,30.0,michael_schumacher,1.0,1.0,Finished,98803.0,228958.0,354228.0,476366.0,591098.0,662519.0,732953.0,803365.0,873993.0,945556.0,1036265.0,1169790.0,1327188.0,1476117.0,1625148.0,1758464.0,1891011.0,2012909.0,2123996.0,2195415.0,2266420.0,2337788.0,2409288.0,2480962.0,2552400.0,2623805.0,2695505.0,2767169.0,2839115.0,2910600.0,2982494.0,3054441.0,3126072.0,3197480.0,3268961.0,3340157.0,3411351.0,3482796.0,3553645.0,3624650.0,3695350.0,3788300.0,3866173.0,3938655.0,4011061.0,4083530.0,4155438.0,4227536.0,4299545.0,4371385.0,4443873.0,4516554.0,4588771.0,4661203.0,4733263.0,4805573.0,4877803.0,4949855.0,5021841.0,5093846.0,5165977.0,5237905.0,5310053.0,5381998.0,5454311.0,5526395.0,5598387.0,5670226.0,5742912.0,5814908.0,5886661.0,5958041.0,6029914.0
2,98.0,4.0,alonso,16.0,27.0,Tyre,100030.0,230208.0,355544.0,477243.0,591530.0,664310.0,735861.0,807097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,98.0,11.0,sato,3.0,1.0,Finished,101852.0,232769.0,356632.0,478256.0,591996.0,664842.0,736589.0,807862.0,879660.0,950855.0,1040770.0,1170833.0,1328362.0,1477283.0,1626294.0,1759211.0,1891885.0,2013364.0,2124694.0,2196210.0,2267271.0,2338367.0,2409748.0,2481416.0,2573168.0,2650200.0,2724571.0,2798537.0,2872272.0,2943367.0,3014570.0,3085772.0,3157076.0,3228345.0,3299627.0,3370851.0,3441935.0,3513584.0,3585431.0,3657817.0,3728659.0,3799443.0,3870369.0,3941142.0,4033943.0,4109012.0,4179739.0,4250678.0,4321657.0,4392999.0,4464385.0,4536035.0,4607873.0,4679779.0,4751554.0,4823444.0,4895423.0,4967169.0,5038972.0,5110773.0,5183634.0,5258992.0,5331353.0,5403421.0,5475441.0,5547275.0,5618929.0,5690668.0,5762874.0,5834644.0,5906223.0,5977474.0,6051950.0
3,98.0,8.0,raikkonen,6.0,11.0,+1 Lap,103558.0,234345.0,358070.0,479622.0,592086.0,665842.0,737787.0,809799.0,882214.0,953994.0,1051360.0,1179678.0,1335564.0,1483672.0,1633050.0,1766662.0,1895518.0,2016627.0,2125829.0,2198815.0,2271144.0,2343361.0,2415964.0,2488472.0,2560859.0,2633426.0,2705793.0,2778037.0,2870708.0,2948587.0,3022318.0,3095648.0,3169434.0,3271277.0,3348734.0,3421655.0,3494251.0,3566526.0,3639086.0,3712658.0,3785501.0,3858212.0,3930661.0,4002801.0,4074610.0,4146558.0,4218513.0,4290832.0,4362731.0,4434546.0,4507527.0,4579444.0,4651368.0,4723192.0,4795029.0,4866763.0,4938978.0,5011401.0,5082649.0,5179099.0,5255585.0,5327872.0,5399952.0,5472244.0,5544641.0,5617055.0,5689437.0,5763031.0,5837491.0,5910436.0,5983336.0,6057710.0,
8,98.0,18.0,button,13.0,6.0,Gearbox,105339.0,235761.0,359417.0,480694.0,592619.0,666192.0,738345.0,810287.0,882637.0,954493.0,1041419.0,1173817.0,1331790.0,1480356.0,1628461.0,1761607.0,1893159.0,2014498.0,2125054.0,2196607.0,2267842.0,2338867.0,2410215.0,2503221.0,2577723.0,2651192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,98.0,23.0,ralf_schumacher,15.0,27.0,Tyre,106206.0,239291.0,360104.0,482266.0,592898.0,666512.0,738883.0,810865.0,883278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,98.0,44.0,panis,5.0,1.0,Finished,108308.0,240319.0,361601.0,485356.0,593801.0,667178.0,739668.0,811742.0,884829.0,959795.0,1058122.0,1185518.0,1342595.0,1488570.0,1637026.0,1771127.0,1899079.0,2019245.0,2130555.0,2203388.0,2276171.0,2349054.0,2421914.0,2494630.0,2567297.0,2640453.0,2715404.0,2788305.0,2860754.0,2933086.0,3006447.0,3078902.0,3151222.0,3224329.0,3296405.0,3368422.0,3440351.0,3513038.0,3584926.0,3658243.0,3730167.0,3801852.0,3873788.0,3945376.0,4017506.0,4088439.0,4180630.0,4256140.0,4327935.0,4399881.0,4472043.0,4544348.0,4616906.0,4689374.0,4761636.0,4834448.0,4906796.0,4979400.0,5052491.0,5124805.0,5198372.0,5271079.0,5343685.0,5416176.0,5490150.0,5562781.0,5635201.0,5707445.0,5779664.0,5851687.0,5923820.0,5995564.0,6067448.0
7,98.0,17.0,webber,10.0,5.0,Engine,109405.0,241486.0,362790.0,485972.0,594159.0,668432.0,741160.0,813675.0,886938.0,961686.0,1045840.0,1175327.0,1333576.0,1481233.0,1629457.0,1762428.0,1907913.0,2026087.0,2134964.0,2207719.0,2280408.0,2353747.0,2427777.0,2501330.0,2575313.0,2650975.0,2727029.0,2800632.0,2874430.0,2948546.0,3023106.0,3097105.0,3170808.0,3244612.0,3317858.0,3391106.0,3464347.0,3537280.0,3610311.0,3682969.0,3755473.0,3827773.0,3900234.0,3972402.0,4044823.0,4116963.0,4189103.0,4261418.0,4333698.0,4406060.0,4497699.0,4573733.0,4648925.0,4721382.0,4793633.0,4866201.0,4938830.0,5012845.0,5085311.0,5166270.0,,,,,,,,,,,,,
5,98.0,14.0,coulthard,7.0,11.0,+1 Lap,111000.0,242783.0,364529.0,486902.0,594368.0,667970.0,740777.0,813278.0,886409.0,961873.0,1070039.0,1191895.0,1349063.0,1494837.0,1642013.0,1777413.0,1903374.0,2023985.0,2131981.0,2205701.0,2279417.0,2353024.0,2426710.0,2500499.0,2574479.0,2650124.0,2725029.0,2799274.0,2873687.0,2947794.0,3022246.0,3096535.0,3170202.0,3243916.0,3317057.0,3389969.0,3462894.0,3536158.0,3609249.0,3681833.0,3754112.0,3826354.0,3898568.0,3970723.0,4043014.0,4115304.0,4209018.0,4286604.0,4360200.0,4434255.0,4509979.0,4584272.0,4662965.0,4760808.0,4837781.0,4910093.0,4982883.0,5056555.0,5129433.0,5203314.0,5277001.0,5350500.0,5423894.0,5497195.0,5570765.0,5644169.0,5717570.0,5791265.0,5864899.0,5938047.0,6011261.0,6084532.0,
