,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
8,166,30,michael_schumacher,6,16,5,Engine,80120,160237,240002,319658,399914,480364,560985,641480,721858,802190,883134,963918,1044704,1125495,1206529,1287295,1367977.0,1449548.0,1531153.0,1612675.0,1694200.0,1775263.0,1856368.0,1940637.0,2040689.0,2120975.0,2201387.0,2282208.0,2363093.0,2444406.0,2525611.0,2607308.0,2688888.0,2770855.0,2852122.0,2933675.0,3016125.0,3097705.0,3179648.0,3262092.0,3343726.0,3424918.0,3509004.0,3606433.0,3687113.0,3767735.0,3849057.0,3930504.0,4011564.0,4092537.0,4174041.0,4255480.0,4336737.0,4418205.0,4499775.0,4581883.0,4664784.0,4746776.0,,,,,,,,,,,,,,
5,166,22,barrichello,6,3,1,Finished,81556,162037,242521,322932,403467,484046,564865,645378,726112,807253,888181,969188,1050261,1131054,1211793,1293020,1374350.0,1455793.0,1537083.0,1618926.0,1700698.0,1783558.0,1865438.0,1947081.0,2031692.0,2130184.0,2210409.0,2290901.0,2371284.0,2452119.0,2533387.0,2615156.0,2696070.0,2776860.0,2857797.0,2938928.0,3019936.0,3101064.0,3182037.0,3263741.0,3345220.0,3426340.0,3507365.0,3590840.0,3698859.0,3779655.0,3860845.0,3941741.0,4022556.0,4103532.0,4184941.0,4265972.0,4347239.0,4428423.0,4510309.0,4591913.0,4673245.0,4754877.0,4837213.0,4919760.0,5002275.0,5084717.0,5166825.0,5249426.0,5332333.0,5415752.0,5498912.0,5582265.0,5665784.0,5749322.0,5833443.0,5917947.0
1,166,14,coulthard,1,1,1,Finished,82092,162709,243278,323919,404676,485034,565797,646468,727075,808004,889109,970108,1051055,1131857,1212814,1293834,1375016.0,1456481.0,1537832.0,1619881.0,1701294.0,1782464.0,1863156.0,1944902.0,2029074.0,2126284.0,2206354.0,2285833.0,2365647.0,2446397.0,2526968.0,2607886.0,2689378.0,2771626.0,2852804.0,2934183.0,3016741.0,3098334.0,3180143.0,3260998.0,3343249.0,3423489.0,3503494.0,3583712.0,3663758.0,3747117.0,3846050.0,3926183.0,4006108.0,4086293.0,4166815.0,4247441.0,4328398.0,4409688.0,4491897.0,4573007.0,4654024.0,4736443.0,4817250.0,4898395.0,4979303.0,5060341.0,5142039.0,5223665.0,5305571.0,5387414.0,5469680.0,5552308.0,5635463.0,5718405.0,5801957.0,5885538.0
17,166,57,hakkinen,1,2,1,Finished,82683,163636,244345,324982,405660,486297,567335,647779,728982,809861,891040,972013,1052842,1133985,1214951,1295677,1376722.0,1457909.0,1539365.0,1621062.0,1702612.0,1784476.0,1870075.0,1967842.0,2048219.0,2128152.0,2208841.0,2289147.0,2368893.0,2449005.0,2530099.0,2610454.0,2691098.0,2772034.0,2853380.0,2934835.0,3017236.0,3098993.0,3180720.0,3262874.0,3344236.0,3425500.0,3509905.0,3609627.0,3689847.0,3770062.0,3851226.0,3931866.0,4012853.0,4093796.0,4175376.0,4256415.0,4337726.0,4419036.0,4500516.0,4582581.0,4665159.0,4747585.0,4829698.0,4911323.0,4992736.0,5074587.0,5156734.0,5238739.0,5321427.0,5404225.0,5486276.0,5568306.0,5650660.0,5733353.0,5816677.0,5900286.0
9,166,35,villeneuve,16,4,1,Finished,83579,164785,245642,326790,407920,489401,571039,652328,734258,815912,897660,979827,1061835,1143671,1225761,1307532,1389691.0,1472294.0,1554567.0,1636589.0,1718900.0,1804909.0,1904516.0,1985512.0,2066697.0,2148175.0,2229323.0,2310825.0,2392504.0,2474370.0,2556279.0,2638045.0,2720566.0,2802551.0,2884319.0,2966534.0,3048472.0,3130266.0,3211838.0,3293616.0,3375764.0,3457645.0,3543473.0,3645045.0,3726766.0,3808284.0,3890074.0,3972046.0,4054389.0,4136392.0,4218201.0,4300145.0,4381932.0,4464037.0,4546214.0,4628064.0,4710080.0,4791918.0,4874071.0,4956017.0,5037910.0,5119730.0,5202701.0,5284948.0,5366833.0,5449094.0,5531148.0,5613473.0,5695717.0,5778336.0,5861947.0,5946860.0
13,166,49,frentzen,17,7,11,+1 Lap,84099,165384,246854,328109,409718,491307,573182,654959,736943,818997,901165,983473,1065773,1147730,1229884,1312104,1394323.0,1476745.0,1559112.0,1641349.0,1723462.0,1809301.0,1909527.0,1991692.0,2073540.0,2155153.0,2236654.0,2318363.0,2400386.0,2482696.0,2565157.0,2647636.0,2730331.0,2812695.0,2894978.0,2977663.0,3059665.0,3141330.0,3223173.0,3308100.0,3408984.0,3490355.0,3572105.0,3654433.0,3736639.0,3819479.0,3902407.0,3985985.0,4069564.0,4153664.0,4236666.0,4320493.0,4403282.0,4486349.0,4569563.0,4652590.0,4737359.0,4820385.0,4903077.0,4985982.0,5068765.0,5151996.0,5234969.0,5318023.0,5401302.0,5484142.0,5566912.0,5651617.0,5735393.0,5818979.0,5902105.0,
6,166,23,ralf_schumacher,3,5,1,Finished,84593,166610,247518,328762,410226,491900,573820,655520,737612,819545,901563,984015,1066231,1148392,1230463,1312899,1394919.0,1477336.0,1559719.0,1642267.0,1724453.0,1809926.0,1910763.0,1992463.0,2074077.0,2155774.0,2237342.0,2318907.0,2401529.0,2483327.0,2565673.0,2648098.0,2730793.0,2813206.0,2895500.0,2978208.0,3060431.0,3142253.0,3223901.0,3305906.0,3387442.0,3468787.0,3550265.0,3631666.0,3713242.0,3794532.0,3879543.0,3979214.0,4060386.0,4141364.0,4223498.0,4305343.0,4386385.0,4467728.0,4549271.0,4630686.0,4712648.0,4794254.0,4875838.0,4957450.0,5039397.0,5120681.0,5203260.0,5285495.0,5367760.0,5449677.0,5531889.0,5614120.0,5697320.0,5781395.0,5864719.0,5949519.0
2,166,15,trulli,17,6,1,Finished,85157,166577,248101,329258,410918,492635,574574,656287,738193,820210,902509,984673,1067165,1149725,1231321,1313770,1395826.0,1478147.0,1560577.0,1643022.0,1728395.0,1826692.0,1909051.0,1991326.0,2072444.0,2153515.0,2234646.0,2315944.0,2397192.0,2479093.0,2561075.0,2642835.0,2724735.0,2806342.0,2888069.0,2970211.0,3052103.0,3133753.0,3215322.0,3297139.0,3379281.0,3464799.0,3565336.0,3647255.0,3729116.0,3811007.0,3893601.0,3976202.0,4058058.0,4140270.0,4223076.0,4306971.0,4389530.0,4471938.0,4554505.0,4637032.0,4719727.0,4802153.0,4884704.0,4966988.0,5049543.0,5132013.0,5214541.0,5296798.0,5379421.0,5461874.0,5544688.0,5627346.0,5710499.0,5793593.0,5877270.0,5961143.0
19,166,63,salo,15,10,11,+1 Lap,85957,168095,249962,331873,413914,495935,578572,660994,743525,826215,909007,992252,1076164,1159422,1242329,1325125,1408503.0,1491620.0,1574655.0,1657554.0,1740412.0,1823094.0,1907228.0,1994127.0,2097584.0,2179309.0,2261297.0,2343050.0,2425177.0,2508001.0,2591162.0,2674261.0,2757949.0,2841490.0,2925247.0,3008715.0,3091845.0,3174939.0,3258143.0,3341924.0,3428568.0,3511797.0,3594663.0,3677602.0,3760901.0,3848296.0,3949298.0,4031351.0,4114195.0,4197091.0,4279882.0,4362390.0,4445228.0,4527981.0,4611020.0,4693967.0,4776835.0,4859843.0,4943085.0,5026180.0,5109307.0,5192688.0,5276208.0,5360062.0,5443278.0,5526210.0,5609422.0,5692662.0,5776223.0,5860165.0,5945469.0,
16,166,56,irvine,19,13,12,+2 Laps,86812,168984,251046,332990,414876,496916,579318,662151,744549,827209,909932,993686,1076807,1160044,1243132,1326870,1409215.0,1492743.0,1576498.0,1659551.0,1741981.0,1824624.0,1911198.0,2049799.0,2131304.0,2212270.0,2293630.0,2375643.0,2457417.0,2539407.0,2621605.0,2704017.0,2786489.0,2868764.0,2951490.0,3034770.0,3118157.0,3201947.0,3285877.0,3369440.0,3453301.0,3537420.0,3623295.0,3722872.0,3802851.0,3883591.0,3964404.0,4045552.0,4126800.0,4208097.0,4289618.0,4371292.0,4453666.0,4534975.0,4616681.0,4698386.0,4779710.0,4860838.0,4946566.0,5045685.0,5125393.0,5206097.0,5287880.0,5369482.0,5451172.0,5533023.0,5614959.0,5701076.0,5802887.0,5885993.0,,
