,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,161121.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,162281.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,163329.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,164456.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,165164.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,165741.0,6,6,6,6,6,6,6,6,6,6,6,12,12,12,11,10,10,9,9,9,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,167863.0,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
7,168888.0,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,12,12,11,11,11,9,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,18,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,169772.0,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,10,10,10,10,10,10,10,10,10,9,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
9,171382.0,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,11,11,11,11,11,11,11,11,11,10,9,9,8,8,8,8,8,8,7,7,7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,173352.0,11,12,12,12,12,12,12,12,12,12,12,11,11,11,10,9,9,15,15,15,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,0
11,172553.0,12,11,11,11,11,11,11,11,11,11,11,10,10,10,15,15,15,14,14,14,13,12,12,12,12,12,12,12,12,11,10,10,9,9,9,9,9,9,8,8,8,8,7,7,9,9,7,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,0
12,210562.0,13,20,20,20,20,20,20,20,20,20,20,19,19,19,19,18,18,18,18,17,17,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,0
13,174272.0,14,13,13,13,13,13,13,13,13,13,13,13,13,13,12,11,11,10,10,10,8,8,7,7,7,7,7,9,9,12,11,11,10,10,10,10,10,10,9,9,9,9,8,8,7,7,6,5,5,5,5,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5
14,175125.0,15,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,12,12,12,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,0
15,176289.0,16,15,15,15,15,15,15,16,16,16,16,16,16,16,16,19,19,19,19,19,19,18,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,15,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,0,0,0
