,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,913.0,1.0,hamilton,1.0,1.0,Finished,115510.0,229406.0,342946.0,456480.0,569515.0,682862.0,795978.0,909410.0,1022942.0,1136229.0,1249751.0,1363264.0,1483871.0,1618284.0,1732523.0,1846398.0,1959280.0,2072203.0,2185233.0,2298156.0,2411052.0,2524105.0,2637333.0,2750785.0,2864202.0,2984792.0,3119935.0,3231728.0,3343133.0,3455376.0,3588473.0,3777147.0,3942423.0,4103090.0,4270866.0,4428875.0,4587271.0,4698911.0,4809328.0,4920892.0,5032172.0,5143646.0,5255111.0,5367016.0,5478660.0,5590719.0,5702485.0,5815328.0,5927470.0,6040483.0,6153254.0,6274944.0,6407924.0,6521503.0,6635388.0,6748701.0,6862520.0,6976358.0,7090655.0,7204795.0
8,913.0,20.0,vettel,2.0,1.0,Finished,117189.0,231071.0,344632.0,458164.0,571701.0,685221.0,798799.0,912553.0,1026761.0,1141349.0,1256408.0,1379395.0,1514134.0,1627153.0,1740226.0,1853428.0,1966483.0,2079531.0,2192823.0,2306116.0,2419698.0,2533376.0,2647221.0,2761443.0,2883678.0,3016492.0,3129011.0,3242112.0,3354815.0,3467514.0,3608260.0,3782507.0,3945605.0,4106206.0,4271861.0,4429770.0,4588198.0,4702205.0,4815172.0,4928502.0,5041885.0,5155226.0,5268662.0,5382332.0,5496029.0,5609488.0,5722881.0,5836485.0,5950203.0,6064497.0,6178530.0,6293084.0,6407538.0,6523629.0,6639124.0,6754870.0,6870577.0,6986974.0,7102760.0,7218329.0
3,913.0,4.0,alonso,4.0,1.0,Finished,118861.0,233709.0,348207.0,462530.0,576517.0,690214.0,804185.0,918199.0,1032429.0,1146981.0,1261550.0,1383812.0,1516875.0,1630019.0,1743580.0,1856583.0,1969759.0,2082752.0,2195601.0,2308494.0,2421623.0,2535018.0,2648426.0,2769459.0,2899144.0,3011812.0,3123927.0,3236190.0,3348388.0,3461285.0,3606395.0,3786008.0,3947396.0,4108300.0,4273585.0,4431558.0,4588991.0,4704813.0,4818928.0,4932422.0,5045954.0,5159167.0,5272823.0,5387115.0,5501133.0,5614967.0,5728447.0,5842394.0,5956116.0,6069408.0,6182882.0,6296400.0,6411120.0,6526228.0,6640993.0,6756219.0,6871857.0,6988039.0,7104168.0,7220184.0
13,913.0,817.0,ricciardo,3.0,1.0,Finished,119536.0,234530.0,349419.0,464144.0,578620.0,693342.0,807848.0,922150.0,1036707.0,1151185.0,1265490.0,1387191.0,1520839.0,1633852.0,1747013.0,1859977.0,1973061.0,2086376.0,2199409.0,2312845.0,2426113.0,2539493.0,2653314.0,2767365.0,2881909.0,2996188.0,3118316.0,3250910.0,3363565.0,3476134.0,3618148.0,3783885.0,3946754.0,4107404.0,4272428.0,4430850.0,4588573.0,4703200.0,4816499.0,4930025.0,5043067.0,5157201.0,5271076.0,5385499.0,5499585.0,5613474.0,5727194.0,5841103.0,5954469.0,6067876.0,6181310.0,6295139.0,6410164.0,6525227.0,6640254.0,6755614.0,6871259.0,6987470.0,7103620.0,7219068.0
4,913.0,8.0,raikkonen,8.0,1.0,Finished,120438.0,235390.0,350289.0,465268.0,579779.0,694857.0,809549.0,924675.0,1039814.0,1155152.0,1277729.0,1412178.0,1527205.0,1642651.0,1756107.0,1870886.0,1984302.0,2097752.0,2211126.0,2324668.0,2438717.0,2552935.0,2666290.0,2780491.0,2901602.0,3034513.0,3147615.0,3260487.0,3373824.0,3488173.0,3644841.0,3821935.0,3955116.0,4115075.0,4278805.0,4436699.0,4591223.0,4708182.0,4823424.0,4938110.0,5052800.0,5167878.0,5282643.0,5397571.0,5512772.0,5627707.0,5743091.0,5858467.0,5974416.0,6090184.0,6206353.0,6322644.0,6438635.0,6555762.0,6673127.0,6790706.0,6908389.0,7026531.0,7146244.0,7265436.0
5,913.0,13.0,massa,5.0,1.0,Finished,121862.0,236639.0,351414.0,466384.0,580933.0,695990.0,810727.0,926111.0,1041304.0,1163826.0,1297372.0,1411795.0,1526767.0,1641502.0,1754951.0,1868506.0,1982022.0,2095650.0,2208943.0,2322709.0,2437018.0,2558684.0,2691023.0,2805046.0,2919035.0,3032765.0,3146048.0,3259545.0,3373159.0,3487402.0,3635800.0,3796141.0,3948926.0,4110817.0,4274655.0,4432261.0,4589497.0,4705831.0,4820458.0,4934706.0,5048985.0,5163475.0,5277867.0,5392491.0,5507265.0,5622216.0,5736980.0,5852076.0,5967204.0,6082452.0,6198035.0,6313317.0,6429235.0,6545567.0,6661988.0,6778238.0,6895216.0,7012196.0,7128969.0,7246956.0
7,913.0,18.0,button,18.0,31.0,Retired,122667.0,238075.0,352852.0,467789.0,582960.0,697825.0,812400.0,927651.0,1043058.0,1158396.0,1273712.0,1389435.0,1505431.0,1629746.0,1763756.0,1877463.0,1991992.0,2106550.0,2221389.0,2335778.0,2450367.0,2565185.0,2680131.0,2794939.0,2909771.0,3024848.0,3140183.0,3255402.0,3370602.0,3486007.0,3641821.0,3817878.0,3953991.0,4113475.0,4277205.0,4435213.0,4590695.0,4707467.0,4822718.0,4937383.0,5052026.0,5166577.0,5281987.0,5396697.0,5511817.0,5626911.0,5742471.0,5857877.0,5973630.0,6089565.0,6205695.0,6322006.0,,,,,,,,
17,913.0,822.0,bottas,11.0,1.0,Finished,123658.0,238889.0,354101.0,469113.0,584293.0,699483.0,814376.0,929527.0,1045102.0,1160815.0,1283730.0,1417168.0,1531209.0,1645809.0,1759775.0,1873561.0,1987695.0,2101590.0,2215699.0,2329790.0,2443705.0,2557696.0,2680017.0,2813112.0,2925627.0,3038686.0,3151558.0,3264612.0,3377751.0,3490920.0,3641571.0,3802890.0,3949948.0,4111653.0,4275361.0,4433359.0,4589973.0,4706824.0,4821839.0,4936450.0,5051136.0,5165926.0,5281102.0,5395893.0,5511051.0,5626180.0,5741795.0,5857247.0,5972883.0,6088887.0,6205006.0,6321428.0,6438099.0,6555305.0,6672622.0,6790327.0,6907902.0,7025979.0,7145805.0,7269860.0
19,913.0,825.0,kevin_magnussen,10.0,1.0,Finished,125005.0,240916.0,356384.0,471800.0,587200.0,702457.0,817634.0,932958.0,1048338.0,1163596.0,1279052.0,1394820.0,1517926.0,1651840.0,1767003.0,1881360.0,1995501.0,2109767.0,2224406.0,2339144.0,2454008.0,2568929.0,2684347.0,2800142.0,2915854.0,3037962.0,3170679.0,3283275.0,3396019.0,3508890.0,3667263.0,3828371.0,3960088.0,4116351.0,4279901.0,4439756.0,4592469.0,4709050.0,4824540.0,4939409.0,5054427.0,5169439.0,5284503.0,5399756.0,5514384.0,5636877.0,5770444.0,5882083.0,5994782.0,6106599.0,6218693.0,6331340.0,6446712.0,6564079.0,6680349.0,6794645.0,6909792.0,7028181.0,7148949.0,7267025.0
20,913.0,826.0,kvyat,14.0,1.0,Finished,125479.0,241705.0,357000.0,472557.0,587995.0,703354.0,819024.0,936712.0,1053453.0,1177787.0,1315792.0,1430407.0,1544960.0,1661052.0,1776556.0,1891521.0,2006673.0,2121535.0,2236459.0,2352030.0,2468411.0,2584609.0,2707655.0,2842189.0,2955379.0,3068988.0,3182623.0,3297394.0,3413931.0,3535873.0,3701015.0,3830466.0,3964207.0,4118046.0,4281030.0,4440512.0,4593242.0,4709823.0,4825336.0,4940610.0,5055644.0,5171729.0,5297305.0,5432704.0,5544465.0,5657458.0,5772357.0,5889022.0,6002235.0,6115799.0,6229276.0,6342701.0,6455850.0,6570325.0,6685560.0,6802265.0,6919912.0,7038424.0,7157051.0,7276803.0
