,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,3835422.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3837011.0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,3837868.0,3,3,4,4,4,4,4,4,4,5,4,4,5,5,6,6,6,6,6,6,6,6,6,6,7,6,6,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
3,3838311.0,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,3838888.0,5,5,5,5,5,5,5,5,5,4,10,10,10,10,8,7,7,7,7,7,7,7,7,7,6,5,5,5,3,3,3,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5
5,3839233.0,6,6,6,7,7,7,7,8,9,9,8,8,8,8,9,8,8,8,8,8,9,9,9,9,9,8,9,9,8,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6,3839736.0,7,7,8,8,8,9,9,9,8,8,7,7,7,7,7,9,9,9,9,9,8,8,8,8,8,7,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,3840180.0,8,8,9,9,9,10,10,10,10,10,9,9,9,9,14,13,13,12,12,12,12,12,11,10,10,10,10,10,9,8,8,8,8,8,8,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,3840535.0,9,9,7,6,6,6,6,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,3956124.0,10,20,20,20,20,20,20,20,20,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,0,0
10,3841259.0,11,10,10,11,11,11,11,12,12,12,13,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,0
11,3841618.0,12,11,11,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,15,15,15,13,13,12,12,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,0
12,3842065.0,13,12,13,13,13,13,13,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3842317.0,14,13,12,10,10,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,9,8,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
14,3842747.0,15,14,14,14,14,14,14,14,15,15,15,15,16,16,16,15,15,15,15,15,15,15,15,14,14,14,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0
15,3844483.0,16,15,16,17,17,18,18,19,19,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3845349.0,17,16,15,15,15,15,15,15,14,14,14,13,13,13,12,12,12,13,13,13,13,13,13,12,12,12,12,11,10,9,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,0
17,3845795.0,18,17,17,16,16,16,16,16,13,13,12,12,12,12,11,11,11,11,11,11,11,11,12,11,11,11,11,12,11,11,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
18,3847132.0,19,18,18,18,19,19,19,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,0,0
19,3847929.0,20,19,19,19,18,17,17,17,17,16,16,16,15,14,13,14,14,14,14,14,14,14,14,13,13,13,15,15,13,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
