,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,278606.0,1,19,19,19,19,19,19,19,19,19,19,17,16,16,16,16,16,18,17,17,17,17,16,16,16,16,16,16,16,15,15,16,16,16,16,16,16,16,0,0,0,0,0,0
1,235196.0,2,1,1,1,1,1,1,5,15,10,8,7,5,4,4,4,5,5,5,9,8,7,5,4,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
2,235924.0,3,2,2,2,3,3,3,2,2,4,7,6,4,3,3,3,3,3,3,3,2,3,8,7,5,5,5,5,4,4,5,5,5,5,8,8,8,8,8,8,8,7,5,5
3,236408.0,4,3,3,4,4,4,4,4,4,3,3,2,9,7,7,7,7,7,7,6,6,5,3,3,7,9,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,7,8
4,236971.0,5,4,4,3,2,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,237780.0,6,5,5,5,5,5,5,3,3,2,2,1,6,5,5,5,4,4,4,4,4,2,2,2,2,2,2,2,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3
6,238371.0,7,6,6,6,6,6,6,7,12,7,6,5,2,2,2,2,2,2,2,2,3,8,6,5,4,4,4,4,3,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4
7,239812.0,8,7,7,7,7,7,7,6,5,5,5,9,7,6,6,6,6,6,6,5,5,4,7,10,9,8,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6
8,241111.0,9,8,9,9,10,10,10,10,14,15,15,14,14,14,13,12,12,12,12,12,14,14,14,14,14,14,14,14,12,12,11,11,11,11,12,13,13,13,13,13,13,13,13,13
9,241950.0,10,9,8,8,8,8,8,8,6,6,4,3,3,10,9,8,8,8,8,7,7,6,4,6,6,6,6,6,6,9,9,8,8,8,7,7,7,7,7,7,7,8,8,7
10,242368.0,11,10,10,10,9,9,9,9,8,14,11,10,10,9,8,9,9,9,9,8,9,11,11,11,10,10,10,10,10,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
11,242960.0,12,11,11,11,11,11,11,11,7,9,13,12,12,11,10,10,10,10,10,10,10,9,9,9,12,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10
12,244380.0,13,13,13,13,13,13,13,14,11,11,12,15,15,15,14,13,13,13,13,13,15,15,15,15,15,15,15,15,15,13,13,13,13,14,15,15,15,14,14,14,14,14,14,14
13,243554.0,14,12,12,12,12,12,12,12,9,12,14,13,13,12,12,11,11,11,11,11,11,10,10,8,8,7,8,9,9,10,12,12,12,12,11,11,11,11,11,11,11,11,11,11
14,245846.0,15,14,14,14,14,14,14,13,10,8,9,8,8,8,11,14,14,14,14,14,12,12,12,12,11,12,12,12,13,16,14,14,14,13,13,12,12,12,12,12,12,12,12,12
15,246448.0,16,15,15,15,15,15,15,15,13,13,10,11,11,13,15,15,15,15,15,15,13,13,13,13,13,13,13,13,14,14,16,15,15,15,14,14,14,15,15,15,15,15,15,15
16,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,251302.0,19,16,16,16,16,16,16,16,16,16,16,18,18,17,17,18,18,17,18,18,18,18,18,19,19,19,19,19,19,18,18,18,18,17,17,17,17,17,16,16,16,17,17,0
19,251852.0,20,17,17,17,17,17,17,17,17,17,17,19,19,18,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,19,19,19,19,18,18,18,18,18,17,17,17,16,16,0
20,272789.0,21,18,18,18,18,18,18,18,18,18,18,16,17,19,18,17,17,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0
21,301858.0,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,18,0,0,0,0,0
