,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
7,25,8,raikkonen,6,2,1,Finished,78786,156062,233463,310521,387513,464670,541781,618986,696021,772846,849736,926403,1003083,1079733,1156397,1233027,1310665.0,1387341.0,1464141.0,1540806.0,1619204.0,1720055.0,1797885.0,1875611.0,1953437.0,2031077.0,2108835.0,2186495.0,2264285.0,2342322.0,2420056.0,2497834.0,2576129.0,2655858.0,2734994.0,2813976.0,2893085.0,2973388.0,3054316.0,3133402.0,3212634.0,3291633.0,3370564.0,3449541.0,3528327.0,3606787.0,3684681.0,3762818.0,3841159.0,3919608.0,3997881.0,4077899.0,4178791.0,4256940.0,4335211.0,4413767.0,4493300.0,4573104.0,4652717.0,4732128.0,4811509.0,4890745.0,4969767.0,5048636.0,5127731.0,5206663.0,5285956.0,5365123.0,5445193.0,5528229.0
11,25,13,massa,6,1,1,Finished,79878,157375,234708,312141,389711,467289,544661,621944,699134,776118,853046,929973,1006934,1083834,1160798,1237746,1314725.0,1391618.0,1468445.0,1545174.0,1622217.0,1699851.0,1778626.0,1879967.0,1959391.0,2037291.0,2115369.0,2193210.0,2271139.0,2348947.0,2426702.0,2504498.0,2582198.0,2660023.0,2738221.0,2816209.0,2894851.0,2974014.0,3052837.0,3130764.0,3208400.0,3286088.0,3363835.0,3441701.0,3519297.0,3596781.0,3674651.0,3752218.0,3829685.0,3907166.0,3985151.0,4063229.0,4141562.0,4222168.0,4321766.0,4399613.0,4478664.0,4560320.0,4640773.0,4719513.0,4797975.0,4875774.0,4953766.0,5031708.0,5110058.0,5188189.0,5267212.0,5346600.0,5427175.0,5510245.0
13,25,15,trulli,7,3,1,Finished,81249,159999,238041,316172,393995,471863,550261,628684,706717,784672,862431,939998,1017640,1095317,1173110,1250945,1328588.0,1406245.0,1483924.0,1563255.0,1665330.0,1743996.0,1822777.0,1901658.0,1980404.0,2059299.0,2138189.0,2216890.0,2295663.0,2374702.0,2453509.0,2531964.0,2610510.0,2689027.0,2767353.0,2845684.0,2924018.0,3002202.0,3080500.0,3158672.0,3236731.0,3314778.0,3392696.0,3470659.0,3548445.0,3626568.0,3705171.0,3782917.0,3860576.0,3939438.0,4038960.0,4117873.0,4196612.0,4275018.0,4353595.0,4432521.0,4512912.0,4594082.0,4674176.0,4755019.0,4833825.0,4912471.0,4990861.0,5069091.0,5147022.0,5224969.0,5303340.0,5381566.0,5460566.0,5538495.0
3,25,4,alonso,4,8,1,Finished,81694,160765,239062,317300,395406,473743,552145,630522,708780,786983,864896,942648,1020900,1098720,1178128,1279924,1359078.0,1438343.0,1519634.0,1598618.0,1677219.0,1755915.0,1834462.0,1913901.0,1992290.0,2070767.0,2149222.0,2227505.0,2305675.0,2383724.0,2461710.0,2539585.0,2617574.0,2695548.0,2773546.0,2851196.0,2929109.0,3006899.0,3084540.0,3162191.0,3239912.0,3319229.0,3421899.0,3500597.0,3579182.0,3658088.0,3738115.0,3817161.0,3896190.0,3975192.0,4054336.0,4132992.0,4211543.0,4289928.0,4368531.0,4447290.0,4526764.0,4606391.0,4685664.0,4764382.0,4843555.0,4922009.0,5000322.0,5079280.0,5158003.0,5236779.0,5315133.0,5395983.0,5474649.0,5553617.0
8,25,9,kubica,2,5,1,Finished,82490,161644,240114,318779,397184,475714,554332,632827,711320,789179,867110,945088,1022873,1100799,1178360,1255532,1333029.0,1410631.0,1489608.0,1569476.0,1670361.0,1748797.0,1827334.0,1905998.0,1984711.0,2063268.0,2141646.0,2219921.0,2297984.0,2375985.0,2454456.0,2532874.0,2611427.0,2689961.0,2768371.0,2846838.0,2924876.0,3003196.0,3081587.0,3159716.0,3237619.0,3315825.0,3393647.0,3471529.0,3549453.0,3629241.0,3729783.0,3808548.0,3886900.0,3965155.0,4043878.0,4122377.0,4201798.0,4280716.0,4359274.0,4437728.0,4517224.0,4597046.0,4676311.0,4755736.0,4835313.0,4914191.0,4992775.0,5071402.0,5149849.0,5227948.0,5306059.0,5384142.0,5462483.0,5540757.0
9,25,10,glock,7,11,1,Finished,83329,162737,241920,320823,399686,478218,557285,636490,715521,793765,871967,949980,1028165,1106314,1184551,1262620,1340802.0,1419293.0,1497648.0,1575735.0,1655466.0,1758636.0,1837370.0,1916522.0,1995689.0,2076906.0,2156000.0,2235449.0,2314430.0,2393184.0,2471872.0,2550542.0,2629064.0,2707569.0,2786083.0,2864785.0,2943398.0,3022153.0,3100460.0,3178530.0,3256865.0,3335158.0,3413238.0,3491213.0,3569049.0,3647061.0,3725516.0,3803803.0,3882677.0,3984029.0,4064697.0,4143758.0,4222863.0,4302202.0,4380917.0,4460050.0,4541285.0,4621223.0,4701007.0,4780489.0,4859638.0,4938602.0,5017192.0,5096273.0,5174931.0,5253648.0,5332390.0,5411074.0,5489715.0,5567983.0
15,25,17,webber,9,6,1,Finished,83846,163301,242472,321494,400562,479451,558296,637554,716597,795111,873384,951633,1030122,1108449,1186580,1264617,1342779.0,1421047.0,1499336.0,1577375.0,1655323.0,1732830.0,1811757.0,1912683.0,1993534.0,2072107.0,2150453.0,2229020.0,2307672.0,2386146.0,2464820.0,2543204.0,2621870.0,2700019.0,2778160.0,2856436.0,2934503.0,3012736.0,3090896.0,3169047.0,3246964.0,3326245.0,3404557.0,3482533.0,3560133.0,3637924.0,3715761.0,3793687.0,3872752.0,3972746.0,4051377.0,4129903.0,4208762.0,4287735.0,4366807.0,4446410.0,4526046.0,4605674.0,4684685.0,4763685.0,4842356.0,4920821.0,4999215.0,5077793.0,5156165.0,5235106.0,5314014.0,5393154.0,5471831.0,5550549.0
10,25,12,piquet_jr,4,7,1,Finished,84809,164643,243776,322992,401886,480923,560069,639538,718311,796977,875736,954176,1032921,1111562,1190070,1268295,1346459.0,1424746.0,1502835.0,1580927.0,1658900.0,1736783.0,1814562.0,1892320.0,1971942.0,2075932.0,2154852.0,2233207.0,2311918.0,2390453.0,2469586.0,2547977.0,2626264.0,2704466.0,2782665.0,2860601.0,2938803.0,3017000.0,3095286.0,3173699.0,3251556.0,3329985.0,3407801.0,3485599.0,3563680.0,3641552.0,3719567.0,3797549.0,3875617.0,3955249.0,4055891.0,4134724.0,4213518.0,4292506.0,4371121.0,4449907.0,4529209.0,4608561.0,4687599.0,4766487.0,4845550.0,4923974.0,5002207.0,5080747.0,5159061.0,5237470.0,5315893.0,5394720.0,5473349.0,5551278.0
4,25,5,kovalainen,1,4,1,Finished,85117,164979,244155,323605,403517,482223,561337,640868,719986,798762,877014,955493,1034338,1112488,1190704,1268860,1347266.0,1425448.0,1503424.0,1581769.0,1659645.0,1737400.0,1815140.0,1893054.0,1972280.0,2073789.0,2152112.0,2230842.0,2309272.0,2387555.0,2465912.0,2544289.0,2622761.0,2700979.0,2779174.0,2857178.0,2935180.0,3013368.0,3091609.0,3169743.0,3247624.0,3325400.0,3402938.0,3480472.0,3557777.0,3634911.0,3712334.0,3789914.0,3867272.0,3945144.0,4022778.0,4101465.0,4200833.0,4279150.0,4357620.0,4436147.0,4515587.0,4595316.0,4674921.0,4755425.0,4834513.0,4913307.0,4991956.0,5070002.0,5147917.0,5225570.0,5303890.0,5382093.0,5461414.0,5539174.0
0,25,1,hamilton,1,10,1,Finished,85413,165754,244875,324051,402492,481377,560542,640138,718785,797660,876063,954617,1035340,1125496,1203290,1281147,1359550.0,1438750.0,1518132.0,1620492.0,1700399.0,1779768.0,1858912.0,1937834.0,2016712.0,2095902.0,2174738.0,2253581.0,2332013.0,2410236.0,2488485.0,2566490.0,2644982.0,2722888.0,2800730.0,2878474.0,2956304.0,3034131.0,3112017.0,3189470.0,3267399.0,3345181.0,3423176.0,3501241.0,3579711.0,3658509.0,3736639.0,3814246.0,3892074.0,3969535.0,4047267.0,4126232.0,4224991.0,4303386.0,4381826.0,4460567.0,4540070.0,4620210.0,4700098.0,4779317.0,4858436.0,4936943.0,5015456.0,5093650.0,5171272.0,5249642.0,5327710.0,5406613.0,5485516.0,5564766.0
12,25,14,coulthard,9,9,1,Finished,85918,166311,245900,325080,404407,483645,563098,642408,721764,800925,879817,958267,1037213,1115788,1194008,1272232,1350493.0,1429234.0,1507610.0,1585752.0,1663824.0,1741654.0,1819472.0,1897334.0,1975191.0,2054617.0,2156769.0,2236045.0,2315361.0,2394216.0,2473137.0,2551879.0,2630649.0,2709309.0,2787926.0,2866438.0,2945152.0,3023591.0,3102054.0,3180457.0,3258598.0,3336810.0,3415064.0,3493409.0,3571405.0,3649371.0,3727468.0,3805721.0,3884133.0,3962094.0,4040117.0,4120149.0,4221478.0,4300064.0,4378915.0,4458055.0,4538707.0,4619420.0,4699214.0,4778415.0,4856884.0,4935524.0,5013908.0,5092210.0,5170403.0,5248522.0,5326696.0,5405004.0,5483363.0,5561317.0
17,25,20,vettel,5,12,1,Finished,86486,166726,246776,326294,405561,485065,564387,643732,723486,803087,882203,961176,1039925,1118785,1197443,1276155,1354705.0,1433115.0,1511503.0,1589738.0,1667982.0,1746368.0,1824594.0,1904478.0,1982528.0,2061132.0,2139281.0,2217718.0,2297900.0,2397536.0,2476600.0,2555862.0,2634839.0,2713479.0,2792325.0,2870085.0,2948178.0,3026548.0,3104547.0,3182568.0,3260635.0,3338631.0,3416630.0,3494521.0,3572597.0,3650906.0,3728707.0,3808654.0,3908837.0,3987424.0,4066375.0,4145231.0,4224356.0,4304669.0,4383716.0,4462937.0,4542643.0,4621960.0,4701791.0,4781112.0,4860301.0,4939252.0,5018055.0,5097235.0,5175701.0,5254302.0,5332919.0,5411536.0,5490147.0,5568310.0
1,25,2,heidfeld,2,13,1,Finished,87074,167559,247706,327721,407248,486769,566183,645859,725620,804882,884538,963559,1042509,1121395,1200223,1279005,1357664.0,1436039.0,1514453.0,1592858.0,1671535.0,1750109.0,1828618.0,1907163.0,1985861.0,2064430.0,2142865.0,2221521.0,2301399.0,2399910.0,2478136.0,2557233.0,2635938.0,2714657.0,2793508.0,2871803.0,2950119.0,3029629.0,3108029.0,3186201.0,3264358.0,3342233.0,3420220.0,3498115.0,3575976.0,3653692.0,3732120.0,3812341.0,3911693.0,3990137.0,4068782.0,4147913.0,4227582.0,4307114.0,4386343.0,4466038.0,4547921.0,4628981.0,4708451.0,4787678.0,4866195.0,4944605.0,5023213.0,5101368.0,5179635.0,5259346.0,5338164.0,5416533.0,5494409.0,5572324.0
5,25,6,nakajima,3,15,11,+1 Lap,87559,168630,248806,329223,409631,489851,569976,649918,729887,809493,889064,968813,1048451,1128360,1207839,1287162,1366538.0,1445778.0,1524911.0,1604194.0,1682922.0,1761806.0,1840522.0,1919753.0,1998699.0,2079444.0,2158556.0,2237987.0,2317093.0,2396147.0,2476147.0,2555224.0,2633927.0,2712441.0,2792981.0,2896564.0,2976022.0,3055491.0,3135142.0,3214381.0,3293503.0,3372725.0,3451756.0,3531055.0,3609894.0,3688762.0,3767434.0,3845950.0,3924310.0,4002806.0,4081309.0,4159872.0,4238304.0,4316603.0,4395357.0,4474254.0,4555999.0,4637821.0,4738325.0,4816379.0,4894790.0,4976355.0,5055154.0,5133988.0,5212759.0,5291974.0,5370782.0,5449633.0,5528926.0,
